Site,Date,Yr,Mo,Day,Hr,Min,Sec,Timestep,SampleLength_sec,ACIout,BKdB_low,BKdBA_low,BKdB_bird,BKdBA_bird,avgAMP,L10AMP,Hf,Ht,EI,BioPh,AthPh,SoundScapeI,Bio_anth,AA,AAc,AAdur,AAanth,AAcanth,AAduranth,Rough,ADI_step,Eveness_step,pk,pkd,pks,Hm,HvPres,HvSPL,dif_L10L90,Mamp,NumCL,SP2,CL1dur,CL1pk,CL1Leq,CL2dur,CL2pk,CL2Leq,CL3dur,CL3pk,CL3Leq,CL4dur,CL4pk,CL4Leq,AR
BARRETX,2015_06_07,2015,6,7,6,0,0,10,600,0.318376215152704,61.967986067264,34.5707915685717,30.5332994299832,30.5161233983329,0.457141621543225,0.315893822751627,0.942165893497172,0.997387835303165,0.939704801011617,1130.65457142086,1573253.13823617,-0.998563686216047,0.000718673011953104,0.211666666666667,127,1.27272727272727,6.99166666666667,4195,5.6,3.89233749055178,1.59151363686788,0.535433070866142,10000,7.11756826430604,2.47227361285881,0.0905849351100445,0.630316789067781,0.779373801984038,0.324365913742383,20.7798386408036,2,4.81651376146789,2.26086956521739,10000,20.9715702132694,4.26086956521739,10000,20.0981419839179,NaN,NaN,NaN,NaN,NaN,NaN,0.719338842975207
BARRETX,2015_06_07,2015,6,7,6,10,0,10,600,0.433399913520507,61.9393314640104,34.6866092850033,32.7337720317864,33.0056060866939,0.462078027465209,0.311977549270373,0.965598040876163,0.878798971417727,0.848566565124944,1876.62372774854,1562907.036308,-0.997601427244319,0.00120072639264689,0.396666666666667,238,1.52173913043478,6.755,4053,4,6.159638671875,2.07755914506058,0.273576097105509,10000,7.1044556854546,2.46770164377359,0.180856860388404,0.591059620725167,0.865283741351728,0.341874569041943,20.8964908800941,2,65.5555555555556,57.9,10000,20.4238217361455,2.33333333333333,3150,32.6748995056578,NaN,NaN,NaN,NaN,NaN,NaN,0.113719008264463
BARRETX,2015_06_07,2015,6,7,6,20,0,10,600,0.431012751076724,61.9141667245898,35.6020833489835,34.3138367947574,34.6285180159422,0.496305470607305,0.327542306381075,0.933742555131512,0.77055629859811,0.71950120712568,2700.12381595985,1553877.12170094,-0.996530690881244,0.00173766881450972,0.505,303,1.92592592592593,7.83833333333333,4703,4.64285714285714,4.37668298929561,2.03273710830068,0.316098276494316,10000,7.10042260181436,2.46629525678043,0.202069683327097,0.532644642819215,0.850764811048743,0.326429932151925,20.9398131803335,2,74.375,82.8571428571429,10000,20.4529368999907,3.33333333333333,5000,35.512625513315,NaN,NaN,NaN,NaN,NaN,NaN,0.048595041322314
BARRETX,2015_06_07,2015,6,7,6,30,0,10,600,0.244062492396431,50.8635185029691,28.1458618246978,30.5008274210243,30.4850227625754,0.375566238531756,0.298568958888149,0.946060188744963,0.997985125535117,0.944153996228418,1122.23224244366,121997.758209713,-0.981770105109296,0.00919879396893961,0.128333333333333,77,1.25,4.67333333333333,2804,2.76923076923077,1.99738931216367,1.53274287627267,0.588744588744589,10000,7.12163971210741,2.47369692010942,0.0843058501263471,0.70576223484065,0.789541804846448,0.208906332251025,20.7953184516826,2,5.35294117647059,5.34615384615385,10000,20.1988686046919,2.34615384615385,10000,20.8730799987246,NaN,NaN,NaN,NaN,NaN,NaN,0.856198347107438
BARRETX,2015_06_07,2015,6,7,6,40,0,10,600,0.212724412153379,50.221118732927,27.8660372498491,30.4011006471875,30.351316861855,0.368296878745323,0.298040659543179,0.938307102421511,0.998879259629221,0.937255503771638,1096.75611553479,105223.289176775,-0.979368780129477,0.0104231308878041,0.0516666666666667,31,1,4.355,2613,3.35897435897436,1.55809339311659,1.82690751203544,0.422939068100358,10000,7.12484894918451,2.47482034870237,0.0325905011738872,0.865216695357897,0.83095901411698,0.179874209861578,20.769969000746,2,6.07446808510638,3.98387096774194,10000,20.7624475382757,5.78688524590164,10000,20.0800747696899,NaN,NaN,NaN,NaN,NaN,NaN,1.06909090909091
BARRETX,2015_06_07,2015,6,7,6,50,0,10,596,0.27026514633317,56.5194058231442,30.0859918674011,30.4079863595842,30.3672800374304,0.466434562034859,0.321518947738966,0.937887870364737,0.998561122043133,0.936538364182057,1105.8688538975,451695.301365772,-0.995115432880348,0.00244826291208639,0.098993288590604,59,1.1,6.61744966442953,3944,2.25,2.62340929985,1.56655589033197,0.523540489642184,10000,7.12212538018029,2.47386314884367,0.0546436722372554,0.710195151464076,0.773936638720825,0.277879408389738,20.756516502741,2,4.5,2.44210526315789,10000,20.7906480409864,3.83157894736842,10000,20.0853709750906,NaN,NaN,NaN,NaN,NaN,NaN,0.840330578512397
BARRETX,2015_06_07,2015,6,7,7,0,0,10,600,0.321160897655965,63.7428897677594,38.3600674595478,30.7191149920046,30.7523854459915,0.473867338019167,0.326659257491634,0.94884456569705,0.993549616179337,0.942724154062154,1180.08013368441,2367494.48921971,-0.999003594542743,0.000498451058305672,0.206666666666667,124,1.09090909090909,7.52,4512,4.80851063829787,3.16620699666134,1.6436074366818,0.53584229390681,10000,7.11410730040205,2.47105507900384,0.127163742033945,0.479206957022095,0.821222549151983,0.290536081644704,20.9346393435307,2,84.8571428571429,84.4285714285714,10000,20.480649963977,1.5,3150,23.5086105893971,NaN,NaN,NaN,NaN,NaN,NaN,0.745785123966942
BARRETX,2015_06_07,2015,6,7,7,10,0,10,600,0.362493412135849,65.9875018266077,39.4080865920871,30.8719735706654,30.9283564538549,0.476718343558761,0.315695216835103,0.954756808935148,0.984200570614886,0.939672196152421,1222.3550105179,3969631.40389478,-0.999384336424993,0.000307926577091916,0.43,258,1.16666666666667,7.05,4230,3.675,3.41880048118233,1.74244099568157,0.498708010335917,10000,7.05790321365782,2.45212650985935,0.194523468178383,0.621026002838333,0.801829454169301,0.336884425542464,20.6805910808434,2,26.2272727272727,23.4782608695652,10000,20.1463431318739,2.72727272727273,3150,23.1579506299376,NaN,NaN,NaN,NaN,NaN,NaN,0.257851239669421
BARRETX,2015_06_07,2015,6,7,7,20,0,10,600,0.292801079231975,49.3825331368208,26.8970606685496,30.265141767011,30.0420735254716,0.353734030358007,0.287561818834109,0.9216586719691,0.990046585257493,0.912485020955964,1062.95328075776,86746.7701584227,-0.975789622398846,0.012253519973326,0.18,108,1.1,3.865,2319,2.93023255813953,2.85853605084374,1.84341137003589,0.434156378600823,10000,7.12162328573333,2.47368821087956,0.0730437910194495,0.633001110859214,0.871224941373468,0.172071410908796,20.3899216371374,2,6.1978021978022,5.875,10000,19.7619391369621,3.55555555555556,10000,20.3147752688112,NaN,NaN,NaN,NaN,NaN,NaN,0.214214876033058
BARRETX,2015_06_07,2015,6,7,7,30,0,10,600,0.248702393668327,57.9711560035849,30.9177916392063,30.2508481724419,29.9851309560662,0.424268486622391,0.299340243523341,0.902977117764465,0.999246563115556,0.902296781498133,1059.46061649022,626780.67873943,-0.996625062495759,0.00169032111618531,0.0416666666666667,25,1,6.04,3624,4.18181818181818,2.5783901413272,1.43599695715752,0.613333333333334,10000,7.12474289929908,2.47478298726141,0.0203300269463927,0.759318552860132,0.782439573097481,0.288276924855404,20.6234653581433,2,4.20769230769231,4.08695652173913,10000,20.0202983538565,2.46153846153846,10000,20.5211323603493,NaN,NaN,NaN,NaN,NaN,NaN,0.919338842975207
