Site,Date,Yr,Mo,Day,Hr,Min,Sec,Timestep,SampleLength_sec,ACIout,BKdB_low,BKdBA_low,BKdB_bird,BKdBA_bird,avgAMP,L10AMP,Hf,Ht,EI,BioPh,AthPh,SoundScapeI,Bio_anth,AA,AAc,AAdur,AAanth,AAcanth,AAduranth,Rough,ADI_step,Eveness_step,pk,pkd,pks,Hm,HvPres,HvSPL,dif_L10L90,Mamp,NumCL,SP2,CL1dur,CL1pk,CL1Leq,CL2dur,CL2pk,CL2Leq,CL3dur,CL3pk,CL3Leq,CL4dur,CL4pk,CL4Leq,AR
EASTLA2,2014_06_06,2014,6,6,5,0,0,10,600,0.371854660904319,49.3034301438339,45.4482499538998,39.3275401911206,40.2880656106163,0.467613962400323,0.451317621133018,0.742793000050479,0.996859144312809,0.740459994431864,8565.52563357621,85181.0549428863,-0.817262121329537,0.100556698192097,0.315,189,1.03846153846154,1.575,945,0,1.82411630729132,1.46188087584311,0.587889476778365,1600,7.11426243485841,2.47113225352941,0.0989656869637408,0.538128426884091,0.724579067058844,0.0307274928578088,29.5586075266531,2,7.82608695652174,7.83076923076923,1600,29.0385812952651,1.421875,1600,30.0787101858066,NaN,NaN,NaN,NaN,NaN,NaN,0.138842975206612
EASTLA2,2014_06_06,2014,6,6,5,10,0,10,600,0.355566184538455,49.3112847552607,45.477555159185,39.1684142270286,40.1058643782039,0.467119660322533,0.450497745673742,0.746162167256989,0.997606409590995,0.744376160649881,8257.36387022529,85335.2520400182,-0.823546680688053,0.0967638071350979,0.313333333333333,188,1,0.93,558,0,0.86633093100189,1.38919573350879,0.634751773049645,1600,7.12440814892909,2.474664893868,0.0497352720109908,0.725035752845447,0.695765428869743,0.0307562643818199,29.4709254184618,2,34.8235294117647,43.8461538461538,1600,28.9972024395648,2.5,1600,30.4174939481194,NaN,NaN,NaN,NaN,NaN,NaN,0.152727272727273
EASTLA2,2014_06_06,2014,6,6,5,20,0,10,600,0.354237306322136,49.2894464296026,45.4019422639363,39.2647639921676,40.1928661573345,0.466979601344682,0.450652308271993,0.76328858334305,0.990464464064603,0.756010217627504,8442.60361180576,84907.2241744242,-0.819119031882111,0.0994332778381989,0.241666666666667,145,0,1.36166666666667,817,0,1.50817164683613,1.26249556965051,0.660536398467433,1600,7.11806317768349,2.47244287166301,0.0769528666098445,0.113459517386856,0.597525050026623,0.0303746228265191,29.39630157196,2,5.43617021276596,5.35869565217391,1600,28.87594479947,1.17582417582418,1600,29.6241695548218,NaN,NaN,NaN,NaN,NaN,NaN,0.0717355371900826
EASTLA2,2014_06_06,2014,6,6,5,30,0,10,600,0.26256036381955,49.5037975231691,45.6023018726336,39.1809627387631,40.1170620489216,0.469228382998589,0.452943351353495,0.729748890698031,0.997798928753108,0.728142661397264,8281.25721276057,89203.0599493367,-0.830100728941036,0.0928360217403298,0.226666666666667,136,0,1.10666666666667,664,0,0.364566115702479,0.603659076633723,0.830065359477124,1600,7.11490230840472,2.47137499576082,0.0559601544129624,0.232114607312576,0.346400708938807,0.0307955814406729,29.5035307530393,3,3.91056910569106,2.62037037037037,1600,29.1609855366282,2.47863247863248,1600,28.8613788188147,1.58823529411765,5000,31.2470653556658,NaN,NaN,NaN,0.168595041322314
EASTLA2,2014_06_06,2014,6,6,5,40,0,10,600,0.172456514345032,49.703869072231,45.6684431127228,39.0101754344658,39.9622719398354,0.470975642447924,0.454212048220818,0.691440481434632,0.99961412992768,0.691173675246056,7961.9151214566,93408.6095200923,-0.842914591798546,0.0852374868051535,0.0433333333333333,26,0,1.48,888,0,0.895900227112539,0.644179805973393,0.829059829059829,1600,7.125,2.47487373415292,1.42695322305416e-08,0.620804836650953,0.694881910061418,0.0312759040376578,29.4509118317553,5,3.68141592920354,1.06,1600,29.1356473769393,1.6875,1600,29.4176157807634,2.32978723404255,1600,28.7537630191451,1,1600,28.9618005130368,0.317355371900826
EASTLA2,2014_06_06,2014,6,6,5,50,0,10,597,0.139276244822335,49.4510628064065,45.4381903405758,38.6974336884272,39.6366676350266,0.468592451560278,0.452539993722728,0.688364384482026,0.999571267499636,0.688069260298305,7445.95295781493,88569.2974738988,-0.844900618925938,0.0840692335852526,0.0268006700167504,16,0,1.77386934673367,1059,0,0.321382791219356,0.46341355882643,0.847222222222222,1600,7.125,2.47487373415292,1.43381814091775e-08,0.428398548936703,0.750098841162055,0.0305931522049704,29.151053646814,2,7.375,4.01449275362319,1600,28.9735097133924,4.63768115942029,1600,28.4890257689465,NaN,NaN,NaN,NaN,NaN,NaN,0.277685950413223
EASTLA2,2014_06_06,2014,6,6,6,0,0,10,600,0.165521807607177,49.369249956276,45.3939181437878,38.6610079394317,39.5868712106724,0.467676211769669,0.451225566245451,0.710799851506505,0.999056189333097,0.71012899102462,7346.84358789743,86481.8548298474,-0.843398795639523,0.0849524284874822,0.156666666666667,94,1.6,1.62333333333333,974,0,0.681067312614716,1.54143245823731,0.550827423167849,1600,7.12485110888154,2.47482122478767,0.0101675575096197,0.663404190406119,0.759181401088875,0.0308219085382718,29.0445752049001,2,74.125,72.375,1600,28.5702437703039,3,1600,29.901173690997,NaN,NaN,NaN,NaN,NaN,NaN,0.171900826446281
EASTLA2,2014_06_06,2014,6,6,6,10,0,10,600,0.156060962844285,49.4295195004107,45.5508869577139,38.7785591700877,39.7030563964528,0.467995859250528,0.451714348925126,0.706049593018199,0.998029560263733,0.704658364844341,7548.41757290856,87690.3795912789,-0.8414843992644,0.0860803386653292,0.055,33,0,1.20333333333333,722,0,0.418530002620318,1.11195589903163,0.727272727272727,1600,7.12326679957693,2.47426398080979,0.0436837277539636,0.360375967908478,0.60386454977456,0.0304054566639989,29.1507681937268,2,85.7142857142857,148.25,1600,28.6910090480692,2.33333333333333,5000,32.0141193081864,NaN,NaN,NaN,NaN,NaN,NaN,0.153388429752066
EASTLA2,2014_06_06,2014,6,6,6,20,0,10,600,0.136688019045486,49.514608469401,45.637726386588,38.691998462022,39.6293383608712,0.468953208462197,0.452210138894702,0.686138734040348,0.999680653409719,0.685919617975172,7399.4569227385,89425.3908400354,-0.847157891931469,0.0827444739489558,0.0283333333333333,17,0,0.868333333333333,521,0,0.285331900026875,0.465999256961043,0.849673202614379,1600,7.125,2.47487373415292,1.42695322305416e-08,0.388330841369943,0.666332103228054,0.0309303206079616,29.134138176492,2,5.23232323232323,3.04395604395604,1600,28.8745129585041,3.58888888888889,1600,28.5084574079624,NaN,NaN,NaN,NaN,NaN,NaN,0.314710743801653
EASTLA2,2014_06_06,2014,6,6,6,30,0,10,600,0.161461642278843,49.5894441825211,45.4327785291069,38.3753131929017,39.2956576766697,0.46821378780114,0.451070309682782,0.695338009944268,0.99960288949623,0.695061883916848,6879.0951934253,90979.6827832574,-0.859407702902965,0.0756113341240538,0.09,54,0,1.37333333333333,824,0,0.310016906170752,0.264052051825629,0.872427983539095,1600,7.125,2.47487373415292,1.42695322305416e-08,0.502989489502182,0.383128061625108,0.0318510873346251,28.8169115183744,3,4.20661157024793,2.97777777777778,1600,28.5197552585576,3.05376344086022,1600,28.1475483465419,1.6551724137931,1600,28.7265232066725,NaN,NaN,NaN,0.230082644628099
