Selection	View	Channel	Begin Clock Time	Begin Time (s)	End Time (s)	Delta Time (s)	Freq 5% (Hz)	Freq 95% (Hz)	Center Freq (Hz)	Avg Power (dB)	Max Power (dB)	Energy (dB)	Begin Date Time	Begin Path	Begin File	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	ID	NOTES
1	Spectrogram 1	1	1.950	1.949586514	13.033159144	11.084	3656.2	5062.5	3937.5	36.1	57.8	79.7	1.950	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5719eba77e.wav	file5e5719eba77e.wav	1.950	3385.7	5528.6	AMPI	
2	Spectrogram 1	1	13.790	13.790205313	21.939177750	8.149	3281.2	5343.8	4218.8	26.5	38.4	69.1	13.790	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5719eba77e.wav	file5e5719eba77e.wav	13.790	3257.1	5442.9	background	AMPI_freq
3	Spectrogram 1	1	29.220	29.220204026	38.678832748	9.459	3562.5	4781.2	4031.2	31.0	49.7	72.8	29.220	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5719eba77e.wav	file5e5719eba77e.wav	29.220	3428.6	4971.4	AMPI	
4	Spectrogram 1	1	49.616	49.616173982	57.158824065	7.543	3843.8	5343.8	4125.0	39.9	70.0	83.3	49.616	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5719eba77e.wav	file5e5719eba77e.wav	49.616	3428.6	6300.0	AMPI	
5	Spectrogram 1	1	59.051	59.050549810	61.330321861	2.280	3187.5	5343.8	4500.0	43.5	71.1	83.3	59.051	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5719eba77e.wav	file5e5719eba77e.wav	59.051	2100.0	6342.9	WCSP	song
6	Spectrogram 1	1	72.584	72.584333322	72.851115158	0.267	3562.5	4031.2	3843.8	32.5	44.0	55.5	72.584	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5719eba77e.wav	file5e5719eba77e.wav	72.584	3428.6	4200.0	AMPI	
7	Spectrogram 1	1	74.532	74.532125494	77.757760417	3.226	2906.2	6562.5	5062.5	29.9	52.1	71.3	74.532	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5719eba77e.wav	file5e5719eba77e.wav	74.532	2700.0	6942.9	AMPI	
8	Spectrogram 1	1	81.562	81.561780148	85.369484531	3.808	3656.2	5250.0	3937.5	38.2	59.0	78.5	81.562	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5719eba77e.wav	file5e5719eba77e.wav	81.562	3257.1	6000.0	AMPI	
9	Spectrogram 1	1	89.735	89.735253848	97.956984967	8.222	3750.0	5156.2	4031.2	44.1	65.2	87.9	89.735	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5719eba77e.wav	file5e5719eba77e.wav	89.735	3128.6	6085.7	AMPI	
10	Spectrogram 1	1	116.953	116.953107439	121.682421800	4.729	3468.8	4781.2	4031.2	38.7	62.4	79.6	116.953	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5719eba77e.wav	file5e5719eba77e.wav	116.953	2914.3	5614.3	AMPI	
11	Spectrogram 1	1	126.811	126.811219853	128.678692703	1.867	3375.0	4875.0	4031.2	34.4	59.2	70.6	126.811	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5719eba77e.wav	file5e5719eba77e.wav	126.811	3085.7	5271.4	AMPI	
12	Spectrogram 1	1	134.100	134.100426991	137.204797444	3.104	3281.2	4781.2	4031.2	35.1	59.1	73.8	134.100	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5719eba77e.wav	file5e5719eba77e.wav	134.100	2914.3	5357.1	AMPI	
13	Spectrogram 1	1	139.093	139.092573468	139.553378457	0.461	562.5	9000.0	1312.5	33.5	57.7	70.0	139.093	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5719eba77e.wav	file5e5719eba77e.wav	139.093	471.4	10200.0	geophony	water
14	Spectrogram 1	1	143.845	143.845381305	146.319176509	2.474	3000.0	4875.0	3937.5	35.3	59.8	73.8	143.845	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5719eba77e.wav	file5e5719eba77e.wav	143.845	2528.6	5400.0	AMPI	
15	Spectrogram 1	1	153.400	153.400120716	161.912886565	8.513	3656.2	5062.5	3937.5	37.4	59.6	80.9	153.400	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5719eba77e.wav	file5e5719eba77e.wav	153.400	3300.0	5957.1	AMPI	
16	Spectrogram 1	1	170.869	170.868719830	172.275387691	1.407	2718.8	6281.2	4406.2	27.8	44.7	65.3	170.869	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5719eba77e.wav	file5e5719eba77e.wav	170.869	2571.4	6600.0	AMPI	
17	Spectrogram 1	1	175.297	175.296558974	177.285296295	1.989	3468.8	5062.5	3843.8	31.8	51.3	68.1	175.297	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5719eba77e.wav	file5e5719eba77e.wav	175.297	3257.1	5357.1	AMPI	
