Selection	View	Channel	Begin Clock Time	Begin Time (s)	End Time (s)	Delta Time (s)	Freq 5% (Hz)	Freq 95% (Hz)	Center Freq (Hz)	Avg Power (dB)	Max Power (dB)	Energy (dB)	Begin Date Time	Begin Path	Begin File	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	ID	NOTES
1	Spectrogram 1	1	3.042	3.041634517	6.041634517	3.000	1500.0	10593.8	3562.5	20.2	38.0	64.8	3.042	/Users/mary/Desktop/listens_20180309/completed_listens/file5e577af6be3f.wav	file5e577af6be3f.wav	3.042	1413.0	11220.0	background	
2	Spectrogram 1	1	146.819	146.819345672	146.989115931	0.170	2812.5	3937.5	3375.0	21.3	34.6	44.8	146.819	/Users/mary/Desktop/listens_20180309/completed_listens/file5e577af6be3f.wav	file5e577af6be3f.wav	146.819	2784.3	4039.2	UNK1	call
3	Spectrogram 1	1	260.422	260.421562665	260.712597395	0.291	3656.2	4500.0	3937.5	33.3	52.0	60.7	260.422	/Users/mary/Desktop/listens_20180309/completed_listens/file5e577af6be3f.wav	file5e577af6be3f.wav	260.422	3215.7	5098.0	GCRF	
4	Spectrogram 1	1	257.792	257.792284619	257.913549090	0.121	7968.8	9281.2	8437.5	23.2	40.3	46.6	257.792	/Users/mary/Desktop/listens_20180309/completed_listens/file5e577af6be3f.wav	file5e577af6be3f.wav	257.792	7647.1	9529.4	WCSP	female
5	Spectrogram 1	1	261.976	261.975908861	262.169932015	0.194	8156.2	9562.5	8812.5	21.3	38.6	46.6	261.976	/Users/mary/Desktop/listens_20180309/completed_listens/file5e577af6be3f.wav	file5e577af6be3f.wav	261.976	7882.4	9686.3	WCSP	female
6	Spectrogram 1	1	277.880	277.880122569	278.037766381	0.158	3375.0	4031.2	3750.0	21.4	34.4	42.2	277.880	/Users/mary/Desktop/listens_20180309/completed_listens/file5e577af6be3f.wav	file5e577af6be3f.wav	277.880	3294.1	4117.6	UNK1	
7	Spectrogram 1	1	287.881	287.881420851	288.014811769	0.133	8062.5	9281.2	8625.0	21.0	35.5	44.0	287.881	/Users/mary/Desktop/listens_20180309/completed_listens/file5e577af6be3f.wav	file5e577af6be3f.wav	287.881	7882.4	9411.8	WCSP	
8	Spectrogram 1	1	333.595	333.595247937	333.801397537	0.206	8062.5	9375.0	8531.2	20.8	38.0	45.6	333.595	/Users/mary/Desktop/listens_20180309/completed_listens/file5e577af6be3f.wav	file5e577af6be3f.wav	333.595	7921.6	9411.8	WCSP	
9	Spectrogram 1	1	336.942	336.942147331	337.136170484	0.194	8156.2	9468.8	8718.8	22.0	38.5	47.3	336.942	/Users/mary/Desktop/listens_20180309/completed_listens/file5e577af6be3f.wav	file5e577af6be3f.wav	336.942	7882.4	9607.8	WCSP	
10	Spectrogram 1	1	338.070	338.069906909	338.300309404	0.230	8250.0	9656.2	9093.8	20.3	37.1	46.2	338.070	/Users/mary/Desktop/listens_20180309/completed_listens/file5e577af6be3f.wav	file5e577af6be3f.wav	338.070	8078.4	9843.1	WCSP	
