Selection	View	Channel	Begin Clock Time	Begin Time (s)	End Time (s)	Delta Time (s)	Freq 5% (Hz)	Freq 95% (Hz)	Center Freq (Hz)	Avg Power (dB)	Max Power (dB)	Energy (dB)	Begin Date Time	Begin Path	Begin File	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	ID	NOTES
1	Spectrogram 1	1	1.641	1.641089356	1.829426363	0.188	5062.5	6093.8	5437.5	33.7	49.4	58.3	1.641	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57653dbef3.wav	file5e57653dbef3.wav	1.641	4906.8	6457.6	UNK0	beent
2	Spectrogram 1	1	7.842	7.841740712	8.067745119	0.226	5062.5	6093.8	5343.8	35.0	53.4	60.8	7.842	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57653dbef3.wav	file5e57653dbef3.wav	7.842	4855.9	6483.1	UNK0	
3	Spectrogram 1	1	6.981	6.981446639	7.245118447	0.264	4593.8	6281.2	5250.0	29.5	46.3	56.4	6.981	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57653dbef3.wav	file5e57653dbef3.wav	6.981	4550.8	6432.2	AMPI	
4	Spectrogram 1	1	5.556	5.555739483	5.970080896	0.414	2250.0	3656.2	2718.8	30.1	43.6	58.5	5.556	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57653dbef3.wav	file5e57653dbef3.wav	5.556	2161.0	3889.8	PIKA	*
5	Spectrogram 1	1	14.815	14.815051185	15.154057796	0.339	4500.0	6187.5	5343.8	31.1	51.7	60.1	14.815	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57653dbef3.wav	file5e57653dbef3.wav	14.815	4296.6	6584.7	WCSP	
6	Spectrogram 1	1	12.907	12.906569523	13.295799336	0.389	4500.0	6000.0	5156.2	27.5	45.2	55.7	12.907	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57653dbef3.wav	file5e57653dbef3.wav	12.907	4500.0	6178.0	AMPI	
7	Spectrogram 1	1	11.186	11.186424868	11.424985075	0.239	4406.2	6000.0	5156.2	26.8	38.9	53.1	11.186	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57653dbef3.wav	file5e57653dbef3.wav	11.186	4322.0	6127.1	WCSP	*
8	Spectrogram 1	1	20.073	20.073014875	20.273907681	0.201	4781.2	6093.8	5343.8	31.8	49.6	57.1	20.073	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57653dbef3.wav	file5e57653dbef3.wav	20.073	4550.8	6279.7	WCSP	
9	Spectrogram 1	1	25.572	25.572455453	25.773348260	0.201	4968.8	6093.8	5250.0	32.2	48.5	57.1	25.572	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57653dbef3.wav	file5e57653dbef3.wav	25.572	4728.8	6279.7	WCSP	
10	Spectrogram 1	1	23.978	23.977868801	25.459453250	1.482	5437.5	6937.5	6187.5	27.0	44.0	61.2	23.978	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57653dbef3.wav	file5e57653dbef3.wav	23.978	5288.1	7067.8	AMPI	
11	Spectrogram 1	1	25.836	25.836127262	27.367934912	1.532	5625.0	7218.8	6375.0	26.7	42.9	61.0	25.836	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57653dbef3.wav	file5e57653dbef3.wav	25.836	5440.7	7296.6	AMPI	*
12	Spectrogram 1	1	33.009	33.009371943	33.210264749	0.201	4875.0	5906.2	5250.0	30.8	45.4	55.3	33.009	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57653dbef3.wav	file5e57653dbef3.wav	33.009	4728.8	6178.0	WCSP	
13	Spectrogram 1	1	20.324	20.323884519	20.700558531	0.377	5156.2	6375.0	5812.5	27.6	41.5	54.5	20.324	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57653dbef3.wav	file5e57653dbef3.wav	20.324	5135.6	6457.6	AMPI	*
14	Spectrogram 1	1	21.429	21.428794955	21.629687761	0.201	5812.5	6656.2	6281.2	28.4	42.7	51.6	21.429	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57653dbef3.wav	file5e57653dbef3.wav	21.429	5644.1	6661.0	AMPI	*
15	Spectrogram 1	1	27.899	27.899161177	29.587916332	1.689	3656.2	5531.2	4500.0	26.5	41.6	62.1	27.899	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57653dbef3.wav	file5e57653dbef3.wav	27.899	3483.1	5657.5	UNK2	
