Selection	View	Channel	Begin Clock Time	Begin Time (s)	End Time (s)	Delta Time (s)	Freq 5% (Hz)	Freq 95% (Hz)	Center Freq (Hz)	Avg Power (dB)	Max Power (dB)	Energy (dB)	Begin Date Time	Begin Path	Begin File	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	ID	NOTES
1	Spectrogram 1	1	7.798	7.798294483	10.798294483	3.000	1593.8	10875.0	6375.0	26.9	43.9	71.5	7.798	/Users/mary/Desktop/listens_20180309/completed_listens/file5e577171a56a.wav	file5e577171a56a.wav	7.798	1413.0	11220.0	background	
2	Spectrogram 1	1	17.258	17.257737171	18.074539999	0.817	1500.0	4406.2	2812.5	27.8	43.7	62.0	17.258	/Users/mary/Desktop/listens_20180309/completed_listens/file5e577171a56a.wav	file5e577171a56a.wav	17.258	1452.2	4636.9	PIKA	
3	Spectrogram 1	1	20.108	20.107668778	20.844566982	0.737	2156.2	5625.0	3468.8	30.3	48.9	65.3	20.108	/Users/mary/Desktop/listens_20180309/completed_listens/file5e577171a56a.wav	file5e577171a56a.wav	20.108	1859.9	6165.6	PIKA	
4	Spectrogram 1	1	21.581	21.581426269	22.327202765	0.746	1593.8	2343.8	1968.8	31.7	41.8	60.1	21.581	/Users/mary/Desktop/listens_20180309/completed_listens/file5e577171a56a.wav	file5e577171a56a.wav	21.581	1528.7	2471.3	CLNU	
5	Spectrogram 1	1	23.330	23.330449717	24.067347921	0.737	1593.8	2437.5	1968.8	30.6	40.9	59.4	23.330	/Users/mary/Desktop/listens_20180309/completed_listens/file5e577171a56a.wav	file5e577171a56a.wav	23.330	1528.7	2547.8	CLNU	
6	Spectrogram 1	1	39.963	39.963470753	40.691490665	0.728	2156.2	4500.0	3375.0	31.3	49.7	64.4	39.963	/Users/mary/Desktop/listens_20180309/completed_listens/file5e577171a56a.wav	file5e577171a56a.wav	39.963	2038.2	4840.8	PIKA	
7	Spectrogram 1	1	38.143	38.143420973	40.238697793	2.095	1687.5	3000.0	2250.0	30.3	42.1	65.5	38.143	/Users/mary/Desktop/listens_20180309/completed_listens/file5e577171a56a.wav	file5e577171a56a.wav	38.143	1630.6	3235.7	CLNU	
8	Spectrogram 1	1	44.101	44.100754644	45.130636471	1.030	1687.5	2812.5	2156.2	30.4	40.5	61.7	44.101	/Users/mary/Desktop/listens_20180309/completed_listens/file5e577171a56a.wav	file5e577171a56a.wav	44.101	1656.1	2929.9	CLNU	
9	Spectrogram 1	1	48.993	48.992770058	49.996017010	1.003	1687.5	2718.8	2156.2	29.4	38.8	60.2	48.993	/Users/mary/Desktop/listens_20180309/completed_listens/file5e577171a56a.wav	file5e577171a56a.wav	48.993	1605.1	2853.5	CLNU	
10	Spectrogram 1	1	59.820	59.819920364	61.062881189	1.243	1593.8	2812.5	2062.5	29.5	39.3	61.9	59.820	/Users/mary/Desktop/listens_20180309/completed_listens/file5e577171a56a.wav	file5e577171a56a.wav	59.820	1528.7	2955.4	CLNU	
