Selection	View	Channel	Begin Clock Time	Begin Time (s)	End Time (s)	Delta Time (s)	Freq 5% (Hz)	Freq 95% (Hz)	Center Freq (Hz)	Avg Power (dB)	Max Power (dB)	Energy (dB)	Begin Date Time	Begin Path	Begin File	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	ID	NOTES
1	Spectrogram 1	1	15.178	15.177591151	20.593349035	5.416	1968.8	4406.2	3093.8	26.1	37.9	67.7	15.178	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5733536256.wav	file5e5733536256.wav	15.178	1840.2	4561.6	background	pika_freq
2	Spectrogram 1	1	20.979	20.979193882	26.767840013	5.789	1968.8	4312.5	3093.8	26.7	41.7	68.4	20.979	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5733536256.wav	file5e5733536256.wav	20.979	1877.1	4468.8	PIKA	
3	Spectrogram 1	1	34.440	34.439988013	35.096981593	0.657	2250.0	4125.0	3093.8	27.9	44.2	59.5	34.440	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5733536256.wav	file5e5733536256.wav	34.440	2084.4	4261.5	PIKA	
4	Spectrogram 1	1	43.773	43.772986985	54.071805254	10.299	3093.8	4875.0	4031.2	27.0	49.4	70.2	43.773	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5733536256.wav	file5e5733536256.wav	43.773	2913.8	5039.0	AMPI	
5	Spectrogram 1	1	97.182	97.181655873	97.501274371	0.320	4406.2	5062.5	4687.5	28.4	41.2	52.2	97.182	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5733536256.wav	file5e5733536256.wav	97.182	4339.3	5090.9	UNK	*WCSP
6	Spectrogram 1	1	153.015	153.014769765	153.902598926	0.888	2718.8	5062.5	3750.0	27.5	40.0	61.1	153.015	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5733536256.wav	file5e5733536256.wav	153.015	2550.9	5194.6	PIKA	
7	Spectrogram 1	1	206.835	206.834753845	208.273037086	1.438	3093.8	4687.5	3750.0	27.2	43.1	61.5	206.835	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5733536256.wav	file5e5733536256.wav	206.835	2939.7	4857.6	UNK	
8	Spectrogram 1	1	213.148	213.147812985	213.964615813	0.817	3468.8	5531.2	4125.0	29.0	44.6	62.0	213.148	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5733536256.wav	file5e5733536256.wav	213.148	3302.5	5764.7	PIKA	
9	Spectrogram 1	1	222.290	222.290334983	222.858545646	0.568	2343.8	6093.8	3656.2	39.4	60.1	73.7	222.290	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5733536256.wav	file5e5733536256.wav	222.290	1980.7	6775.5	PIKA	
10	Spectrogram 1	1	373.820	373.820173031	382.290063229	8.470	3093.8	7031.2	5343.8	39.8	70.2	86.7	373.820	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5733536256.wav	file5e5733536256.wav	373.820	2136.2	7941.9	AMPI	flight_song
12	Spectrogram 1	1	475.287	475.286694715	475.738703530	0.452	2437.5	3937.5	3000.0	29.9	47.2	59.0	475.287	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5733536256.wav	file5e5733536256.wav	475.287	2317.7	4106.0	PIKA	
13	Spectrogram 1	1	513.691	513.691279075	514.243734293	0.552	2437.5	4687.5	3093.8	28.5	46.7	60.3	513.691	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5733536256.wav	file5e5733536256.wav	513.691	2214.0	4883.5	PIKA	
14	Spectrogram 1	1	527.247	527.246750844	542.740608548	15.494	3375.0	4687.5	3937.5	26.4	42.6	69.7	527.247	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5733536256.wav	file5e5733536256.wav	527.247	3302.5	4779.9	PIKA	
15	Spectrogram 1	1	544.400	544.399594461	545.303612091	0.904	3375.0	4500.0	3843.8	27.5	40.6	58.3	544.400	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5733536256.wav	file5e5733536256.wav	544.400	3276.6	4546.6	PIKA	
16	Spectrogram 1	1	548.242	548.241669386	548.969905810	0.728	3375.0	4125.0	3843.8	27.9	42.2	55.8	548.242	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5733536256.wav	file5e5733536256.wav	548.242	3302.5	4209.7	PIKA	
17	Spectrogram 1	1	597.852	597.852018591	599.999979167	2.148	3093.8	6000.0	4218.8	29.9	51.7	69.0	597.852	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5733536256.wav	file5e5733536256.wav	597.852	2669.5	6401.7	UNK2	*ROWR?
18	Spectrogram 1	1	595.021	595.020909842	596.969694851	1.949	2625.0	6750.0	4687.5	26.2	37.2	65.7	595.021	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5733536256.wav	file5e5733536256.wav	595.021	2436.3	6971.9	background	ROWR_freq
19	Spectrogram 1	1	382.391	382.391252523	385.707294440	3.316	2250.0	7687.5	5062.5	26.1	35.8	69.0	382.391	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5733536256.wav	file5e5733536256.wav	382.391	2021.6	7905.0	background	AMPI_freq
