Selection	View	Channel	Begin Clock Time	Begin Time (s)	End Time (s)	Delta Time (s)	Freq 5% (Hz)	Freq 95% (Hz)	Center Freq (Hz)	Avg Power (dB)	Max Power (dB)	Energy (dB)	Begin Date Time	Begin Path	Begin File	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	ID	NOTES
1	Spectrogram 1	1	1.185	1.185397322	4.185397322	3.000	1875.0	10968.8	7687.5	26.9	38.9	71.6	1.185	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5750b5098d.wav	file5e5750b5098d.wav	1.185	1413.0	11220.0	background	
2	Spectrogram 1	1	15.270	15.269582730	16.219559932	0.950	3187.5	4312.5	3656.2	26.3	39.6	57.0	15.270	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5750b5098d.wav	file5e5750b5098d.wav	15.270	3139.2	4354.4	GCRF	
3	Spectrogram 1	1	17.631	17.631208298	17.853165589	0.222	3468.8	4125.0	3750.0	26.7	36.4	48.9	17.631	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5750b5098d.wav	file5e5750b5098d.wav	17.631	3417.7	4177.2	GCRF	
4	Spectrogram 1	1	20.188	20.188156282	20.427870156	0.240	3375.0	4312.5	3750.0	29.2	42.1	53.8	20.188	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5750b5098d.wav	file5e5750b5098d.wav	20.188	3240.5	4481.0	GCRF	
5	Spectrogram 1	1	23.783	23.783250852	25.825257923	2.042	3187.5	4781.2	3843.8	26.5	43.6	62.3	23.783	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5750b5098d.wav	file5e5750b5098d.wav	23.783	3063.3	4911.4	GCRF	
6	Spectrogram 1	1	78.785	78.785398338	79.051747086	0.266	5062.5	6468.8	5625.0	28.0	42.0	54.6	78.785	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5750b5098d.wav	file5e5750b5098d.wav	78.785	4911.4	6582.3	AMPI	
7	Spectrogram 1	1	146.584	146.584245556	146.850594304	0.266	5718.8	7031.2	6468.8	27.7	39.7	53.5	146.584	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5750b5098d.wav	file5e5750b5098d.wav	146.584	5645.6	7113.9	AMPI	
8	Spectrogram 1	1	166.419	166.418871639	166.649707221	0.231	5250.0	6656.2	5812.5	27.3	37.8	52.9	166.419	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5750b5098d.wav	file5e5750b5098d.wav	166.419	5139.2	6658.2	AMPI	
11	Spectrogram 1	1	206.067	206.067466419	206.333815167	0.266	1781.2	3937.5	2437.5	27.8	43.0	55.9	206.067	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5750b5098d.wav	file5e5750b5098d.wav	206.067	1645.6	4101.3	GCRF	
12	Spectrogram 1	1	250.993	250.992631920	251.294493835	0.302	5062.5	6375.0	5718.8	26.5	38.1	53.3	250.993	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5750b5098d.wav	file5e5750b5098d.wav	250.993	4886.1	6506.3	AMPI	
