Selection	View	Channel	Begin Clock Time	Begin Time (s)	End Time (s)	Delta Time (s)	Freq 5% (Hz)	Freq 95% (Hz)	Center Freq (Hz)	Avg Power (dB)	Max Power (dB)	Energy (dB)	Begin Date Time	Begin Path	Begin File	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	ID	NOTES
1	Spectrogram 1	1	10.559	10.558790597	11.073731511	0.515	3843.8	4312.5	4031.2	25.7	40.8	51.6	10.559	/Users/mary/Desktop/listens_20180309/completed_listens/file5e576e8b74ad.wav	file5e576e8b74ad.wav	10.559	3706.8	4492.1	WCSP	song first note
2	Spectrogram 1	1	13.370	13.369780600	13.582859599	0.213	4875.0	6562.5	5812.5	21.1	33.2	47.3	13.370	/Users/mary/Desktop/listens_20180309/completed_listens/file5e576e8b74ad.wav	file5e576e8b74ad.wav	13.370	4743.5	6659.7	AMPI	
3	Spectrogram 1	1	15.376	15.376274505	15.651501545	0.275	4781.2	6187.5	5625.0	21.5	35.4	48.2	15.376	/Users/mary/Desktop/listens_20180309/completed_listens/file5e576e8b74ad.wav	file5e576e8b74ad.wav	15.376	4649.2	6314.1	AMPI	
4	Spectrogram 1	1	16.158	16.157564166	16.628113622	0.471	5156.2	7125.0	6000.0	20.9	38.4	51.1	16.158	/Users/mary/Desktop/listens_20180309/completed_listens/file5e576e8b74ad.wav	file5e576e8b74ad.wav	16.158	4994.8	7225.1	AMPI	
5	Spectrogram 1	1	17.791	17.791169823	18.075275155	0.284	5062.5	7500.0	6375.0	24.1	44.1	53.8	17.791	/Users/mary/Desktop/listens_20180309/completed_listens/file5e576e8b74ad.wav	file5e576e8b74ad.wav	17.791	4743.5	7947.6	AMPI	
6	Spectrogram 1	1	19.567	19.566828145	19.691124228	0.124	4781.2	7031.2	5812.5	26.8	45.1	52.8	19.567	/Users/mary/Desktop/listens_20180309/completed_listens/file5e576e8b74ad.wav	file5e576e8b74ad.wav	19.567	4335.1	7476.4	AMPI	
7	Spectrogram 1	1	19.167	19.167305023	20.516805348	1.350	3375.0	5062.5	4125.0	26.7	46.1	61.7	19.167	/Users/mary/Desktop/listens_20180309/completed_listens/file5e576e8b74ad.wav	file5e576e8b74ad.wav	19.167	3109.9	5528.8	WCSP	song
8	Spectrogram 1	1	21.582	21.582161425	21.857388465	0.275	4875.0	7125.0	6187.5	28.2	49.2	58.5	21.582	/Users/mary/Desktop/listens_20180309/completed_listens/file5e576e8b74ad.wav	file5e576e8b74ad.wav	21.582	4209.4	8041.9	AMPI	
9	Spectrogram 1	1	22.195	22.194763546	22.505503753	0.311	5156.2	6468.8	6000.0	20.8	33.8	47.8	22.195	/Users/mary/Desktop/listens_20180309/completed_listens/file5e576e8b74ad.wav	file5e576e8b74ad.wav	22.195	5026.2	6596.9	AMPI	
10	Spectrogram 1	1	23.740	23.739586287	23.952665285	0.213	4687.5	6187.5	5718.8	29.4	49.5	57.3	23.740	/Users/mary/Desktop/listens_20180309/completed_listens/file5e576e8b74ad.wav	file5e576e8b74ad.wav	23.740	4115.2	6942.4	AMPI	
