Selection	View	Channel	Begin Clock Time	Begin Time (s)	End Time (s)	Delta Time (s)	Freq 5% (Hz)	Freq 95% (Hz)	Center Freq (Hz)	Avg Power (dB)	Max Power (dB)	Energy (dB)	Begin Date Time	Begin Path	Begin File	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	ID	NOTES
1	Spectrogram 1	1	7.227	7.227000000	17.188443188	9.961	4781.2	6187.5	5437.5	28.5	52.0	70.8	7.227	/Users/mary/Desktop/listens_20180309/completed_listens/file5e577acaa384.wav	file5e577acaa384.wav	7.227	4632.6	6307.0	WCSP	
2	Spectrogram 1	1	30.510	30.510000000	30.736004408	0.226	5156.2	6187.5	5625.0	27.6	39.4	51.7	30.510	/Users/mary/Desktop/listens_20180309/completed_listens/file5e577acaa384.wav	file5e577acaa384.wav	30.510	5079.1	6223.3	WCSP	
3	Spectrogram 1	1	31.668	31.668000000	31.994450810	0.326	4875.0	6187.5	5437.5	27.7	42.5	54.6	31.668	/Users/mary/Desktop/listens_20180309/completed_listens/file5e577acaa384.wav	file5e577acaa384.wav	31.668	4744.2	6251.2	WCSP	
5	Spectrogram 1	1	42.139	42.139000000	42.365004407	0.226	4875.0	6000.0	5250.0	28.8	41.4	53.4	42.139	/Users/mary/Desktop/listens_20180309/completed_listens/file5e577acaa384.wav	file5e577acaa384.wav	42.139	4744.2	6000.0	WCSP	
6	Spectrogram 1	1	46.551	46.551000000	46.827227609	0.276	4687.5	5718.8	5062.5	29.5	44.1	55.1	46.551	/Users/mary/Desktop/listens_20180309/completed_listens/file5e577acaa384.wav	file5e577acaa384.wav	46.551	4576.7	5860.5	UNK1	*DUFL? FOSP?
7	Spectrogram 1	1	49.584	49.584000000	49.822560208	0.239	5156.2	6000.0	5625.0	29.6	44.2	53.8	49.584	/Users/mary/Desktop/listens_20180309/completed_listens/file5e577acaa384.wav	file5e577acaa384.wav	49.584	4995.3	6139.5	WCSP	
8	Spectrogram 1	1	50.563	50.563000000	50.839227609	0.276	4875.0	5906.2	5343.8	29.9	47.9	55.6	50.563	/Users/mary/Desktop/listens_20180309/completed_listens/file5e577acaa384.wav	file5e577acaa384.wav	50.563	4716.3	6000.0	WCSP	
9	Spectrogram 1	1	44.818	44.818000000	44.960052666	0.142	4875.0	5906.2	5437.5	28.5	42.3	51.0	44.818	/Users/mary/Desktop/listens_20180309/completed_listens/file5e577acaa384.wav	file5e577acaa384.wav	44.818	4827.9	6083.7	WCSP	
10	Spectrogram 1	1	39.526	39.526000000	39.659174374	0.133	4875.0	6093.8	5437.5	28.9	39.8	51.6	39.526	/Users/mary/Desktop/listens_20180309/completed_listens/file5e577acaa384.wav	file5e577acaa384.wav	39.526	4772.1	6111.6	WCSP	
11	Spectrogram 1	1	48.257	48.257000000	48.390174374	0.133	4875.0	6187.5	5437.5	28.2	41.5	51.4	48.257	/Users/mary/Desktop/listens_20180309/completed_listens/file5e577acaa384.wav	file5e577acaa384.wav	48.257	4772.1	6334.9	WCSP	
