Selection	View	Channel	Begin Clock Time	Begin Time (s)	End Time (s)	Delta Time (s)	Freq 5% (Hz)	Freq 95% (Hz)	Center Freq (Hz)	Avg Power (dB)	Max Power (dB)	Energy (dB)	Begin Date Time	Begin Path	Begin File	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	ID	NOTES
1	Spectrogram 1	1	2.860	2.860330398	3.557177321	0.697	1781.2	2625.0	2156.2	40.8	54.3	72.9	2.860	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5758f67495.wav	file5e5758f67495.wav	2.860	1088.6	3417.7	CLNU	
2	Spectrogram 1	1	7.690	7.689803892	9.384836947	1.695	2718.8	3750.0	3562.5	33.5	55.6	68.5	7.690	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5758f67495.wav	file5e5758f67495.wav	7.690	2303.8	4126.6	SPSA	
3	Spectrogram 1	1	11.402	11.402317494	14.402317494	3.000	1875.0	10968.8	7406.2	26.4	37.9	71.0	11.402	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5758f67495.wav	file5e5758f67495.wav	11.402	1413.0	11220.0	background	
4	Spectrogram 1	1	29.656	29.655541050	31.017845394	1.362	1687.5	2812.5	2156.2	39.7	54.9	75.2	29.656	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5758f67495.wav	file5e5758f67495.wav	29.656	911.4	3519.0	CLNU	
5	Spectrogram 1	1	33.059	33.059177790	33.197291594	0.138	4031.2	5812.5	4968.8	35.2	52.2	60.7	33.059	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5758f67495.wav	file5e5758f67495.wav	33.059	3746.8	6278.5	ROWR	
6	Spectrogram 1	1	34.409	34.408926334	37.102145521	2.693	1500.0	2812.5	2156.2	38.6	56.5	77.1	34.409	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5758f67495.wav	file5e5758f67495.wav	34.409	936.7	3544.3	CLNU	
7	Spectrogram 1	1	41.843	41.843145925	42.722051954	0.879	1500.0	2906.2	2156.2	39.4	55.7	72.9	41.843	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5758f67495.wav	file5e5758f67495.wav	41.843	987.3	3544.3	CLNU	
8	Spectrogram 1	1	44.549	44.548920913	45.220656235	0.672	1781.2	2812.5	2156.2	38.9	53.7	70.7	44.549	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5758f67495.wav	file5e5758f67495.wav	44.549	1139.2	3468.4	CLNU	
9	Spectrogram 1	1	47.173	47.173083198	47.876208021	0.703	1781.2	2906.2	2250.0	40.1	55.1	72.2	47.173	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5758f67495.wav	file5e5758f67495.wav	47.173	1113.9	3468.4	CLNU	
10	Spectrogram 1	1	51.685	51.684840062	52.036402473	0.352	4312.5	5718.8	4968.8	27.2	39.6	54.9	51.685	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5758f67495.wav	file5e5758f67495.wav	51.685	4177.2	5873.4	ROWR	
