Selection	View	Channel	Begin Clock Time	Begin Time (s)	End Time (s)	Delta Time (s)	Freq 5% (Hz)	Freq 95% (Hz)	Center Freq (Hz)	Avg Power (dB)	Max Power (dB)	Energy (dB)	Begin Date Time	Begin Path	Begin File	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	ID	NOTES
1	Spectrogram 1	1	0.379	0.378856902	3.378856902	3.000	1593.8	10781.2	5343.8	28.4	44.3	73.0	0.379	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575379bd83.wav	file5e575379bd83.wav	0.379	1413.0	11220.0	background	
2	Spectrogram 1	1	10.559	10.558806213	11.597566332	1.039	4781.2	8156.2	7125.0	63.9	91.4	104.0	10.559	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575379bd83.wav	file5e575379bd83.wav	10.559	1169.5	11110.2	AMRO	fledgling squeal bark
3	Spectrogram 1	1	9.271	9.271453930	10.532171339	1.261	2250.0	4218.8	3000.0	30.9	46.6	65.6	9.271	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575379bd83.wav	file5e575379bd83.wav	9.271	2110.2	4474.6	HETH	song
4	Spectrogram 1	1	12.497	12.497007923	13.837629956	1.341	3000.0	4875.0	3656.2	28.6	43.5	63.2	12.497	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575379bd83.wav	file5e575379bd83.wav	12.497	2822.0	5033.9	HETH	song
5	Spectrogram 1	1	15.475	15.475304967	17.313111331	1.838	2156.2	5812.5	3187.5	28.6	48.6	67.4	15.475	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575379bd83.wav	file5e575379bd83.wav	15.475	2033.9	6178.0	HETH	song
6	Spectrogram 1	1	19.365	19.364660339	20.589864582	1.225	2906.2	5062.5	3375.0	31.5	51.4	67.0	19.365	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575379bd83.wav	file5e575379bd83.wav	19.365	2593.2	5491.5	HETH	song
7	Spectrogram 1	1	18.646	18.645518719	19.045041841	0.400	2156.2	6093.8	3656.2	29.0	45.9	61.4	18.646	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575379bd83.wav	file5e575379bd83.wav	18.646	1983.1	6381.4	PIKA	
8	Spectrogram 1	1	22.976	22.976055048	24.343311957	1.367	2156.2	4968.8	3000.0	31.4	54.2	68.0	22.976	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575379bd83.wav	file5e575379bd83.wav	22.976	2033.9	5389.8	HETH	song
9	Spectrogram 1	1	23.500	23.499874254	23.801736168	0.302	2062.5	4781.2	2906.2	34.0	54.2	64.1	23.500	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575379bd83.wav	file5e575379bd83.wav	23.500	1906.8	5389.8	PIKA	
10	Spectrogram 1	1	27.389	27.388565979	27.947898351	0.559	4687.5	8156.2	7125.0	67.3	91.4	104.2	27.389	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575379bd83.wav	file5e575379bd83.wav	27.389	1652.5	10500.0	AMRO	fledgling squeal
11	Spectrogram 1	1	26.695	26.694664024	27.404927353	0.710	3468.8	3937.5	3750.0	33.4	46.5	60.7	26.695	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575379bd83.wav	file5e575379bd83.wav	26.695	3305.1	4118.6	HETH	song first note
12	Spectrogram 1	1	29.829	29.828700963	30.778678165	0.950	2531.2	3843.8	3000.0	30.7	46.9	62.8	29.829	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575379bd83.wav	file5e575379bd83.wav	29.829	2364.4	4042.4	HETH	song
13	Spectrogram 1	1	33.753	33.752852648	34.667316684	0.914	3093.8	4781.2	3656.2	29.3	44.5	61.8	33.753	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575379bd83.wav	file5e575379bd83.wav	33.753	2974.6	4932.2	HETH	song
14	Spectrogram 1	1	35.617	35.617293887	37.259777835	1.642	3000.0	5531.2	4125.0	32.1	51.3	69.6	35.617	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575379bd83.wav	file5e575379bd83.wav	35.617	2593.2	6000.0	WCSP	song
15	Spectrogram 1	1	37.331	37.330804168	37.987797747	0.657	2062.5	3093.8	2906.2	33.7	50.5	63.6	37.331	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575379bd83.wav	file5e575379bd83.wav	37.331	1957.6	3432.2	HETH	song
16	Spectrogram 1	1	40.906	40.905986765	42.166704173	1.261	2812.5	4218.8	3187.5	33.0	51.0	67.4	40.906	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575379bd83.wav	file5e575379bd83.wav	40.906	2466.1	4627.1	HETH	song
17	Spectrogram 1	1	42.682	42.681645087	43.693770331	1.012	4218.8	8250.0	7125.0	61.3	88.5	101.3	42.682	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575379bd83.wav	file5e575379bd83.wav	42.682	1144.1	11186.4	AMRO	fledgling squeal bark
18	Spectrogram 1	1	45.984	45.984352174	47.342730791	1.358	2906.2	4781.2	3750.0	28.0	41.6	62.7	45.984	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575379bd83.wav	file5e575379bd83.wav	45.984	2771.2	4932.2	WCSP	song
19	Spectrogram 1	1	44.466	44.466164308	45.895569258	1.429	2062.5	3843.8	3000.0	32.4	51.7	67.7	44.466	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575379bd83.wav	file5e575379bd83.wav	44.466	1957.6	4271.2	HETH	song
20	Spectrogram 1	1	48.340	48.339827047	49.511761539	1.172	3000.0	5062.5	3937.5	28.4	43.5	62.8	48.340	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575379bd83.wav	file5e575379bd83.wav	48.340	2847.5	5211.9	HETH	song
21	Spectrogram 1	1	51.779	51.779083739	53.119705772	1.341	2343.8	3937.5	3000.0	32.1	50.8	66.6	51.779	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575379bd83.wav	file5e575379bd83.wav	51.779	2211.9	4245.8	HETH	song
22	Spectrogram 1	1	55.668	55.667775465	56.599996084	0.932	3093.8	4781.2	3843.8	28.9	45.9	61.5	55.668	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575379bd83.wav	file5e575379bd83.wav	55.668	3000.0	4881.4	HETH	song
23	Spectrogram 1	1	60.108	60.108268232	60.463399896	0.355	2343.8	4218.8	3375.0	34.5	54.8	64.4	60.108	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575379bd83.wav	file5e575379bd83.wav	60.108	2033.9	4805.1	PIKA	
24	Spectrogram 1	1	58.479	58.479101721	59.868554358	1.389	3187.5	5531.2	4218.8	32.7	53.4	68.5	58.479	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575379bd83.wav	file5e575379bd83.wav	58.479	3152.5	5847.5	WCSP	song
25	Spectrogram 1	1	59.047	59.047312384	59.997289587	0.950	2437.5	3375.0	3000.0	34.9	50.1	65.9	59.047	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575379bd83.wav	file5e575379bd83.wav	59.047	2186.4	3533.9	HETH	song
26	Spectrogram 1	1	61.631	61.630895243	62.656337924	1.025	4312.5	8156.2	7218.8	62.5	88.7	102.7	61.631	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575379bd83.wav	file5e575379bd83.wav	61.631	1042.4	11237.3	AMRO	fledgling squeal bark
27	Spectrogram 1	1	63.185	63.184578883	64.396465688	1.212	2718.8	4781.2	3468.8	29.2	46.5	63.9	63.185	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575379bd83.wav	file5e575379bd83.wav	63.185	2567.8	5008.5	HETH	song
28	Spectrogram 1	1	67.033	67.032604369	68.652892588	1.620	2718.8	5250.0	3750.0	28.3	45.2	65.0	67.033	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575379bd83.wav	file5e575379bd83.wav	67.033	2618.6	5491.5	WCSP	song
29	Spectrogram 1	1	68.702	68.701723192	69.860340248	1.159	2062.5	3656.2	2906.2	32.2	50.9	66.0	68.702	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575379bd83.wav	file5e575379bd83.wav	68.702	1957.6	3991.5	HETH	song
30	Spectrogram 1	1	72.192	72.191561985	73.088269437	0.897	2906.2	4781.2	3562.5	29.4	47.2	62.4	72.192	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575379bd83.wav	file5e575379bd83.wav	72.192	2745.8	5008.5	HETH	song
