Selection	View	Channel	Begin Clock Time	Begin Time (s)	End Time (s)	Delta Time (s)	Freq 5% (Hz)	Freq 95% (Hz)	Center Freq (Hz)	Avg Power (dB)	Max Power (dB)	Energy (dB)	Begin Date Time	Begin Path	Begin File	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	ID	NOTES
1	Spectrogram 1	1	2.737	2.737494498	3.400406939	0.663	3750.0	4312.5	4031.2	28.1	37.9	54.4	2.737	/Users/mary/Desktop/listens_20180309/completed_listens/file5e572cc8cb13.wav	file5e572cc8cb13.wav	2.737	3727.3	4363.6	WCSP	song first note
2	Spectrogram 1	1	29.480	29.480124073	29.687284211	0.207	7218.8	7875.0	7781.2	35.6	54.2	60.2	29.480	/Users/mary/Desktop/listens_20180309/completed_listens/file5e572cc8cb13.wav	file5e572cc8cb13.wav	29.480	6787.9	8181.8	WCSP	call
3	Spectrogram 1	1	31.234	31.234454815	32.684575778	1.450	2625.0	3843.8	3093.8	29.3	44.7	62.4	31.234	/Users/mary/Desktop/listens_20180309/completed_listens/file5e572cc8cb13.wav	file5e572cc8cb13.wav	31.234	2545.5	3969.7	ROWR	
4	Spectrogram 1	1	44.849	44.848724303	45.649743501	0.801	1218.8	2718.8	1593.8	36.8	49.2	68.6	44.849	/Users/mary/Desktop/listens_20180309/completed_listens/file5e572cc8cb13.wav	file5e572cc8cb13.wav	44.849	1128.8	3092.0	CLNU	far away
5	Spectrogram 1	1	52.614	52.613884540	54.381651047	1.768	2718.8	3937.5	3281.2	30.0	42.6	63.9	52.614	/Users/mary/Desktop/listens_20180309/completed_listens/file5e572cc8cb13.wav	file5e572cc8cb13.wav	52.614	2625.8	4049.1	ROWR	
6	Spectrogram 1	1	56.607	56.607492066	57.753778160	1.146	3093.8	4125.0	3843.8	29.7	45.6	61.1	56.607	/Users/mary/Desktop/listens_20180309/completed_listens/file5e572cc8cb13.wav	file5e572cc8cb13.wav	56.607	3092.0	4269.9	WCSP	partial song
7	Spectrogram 1	1	64.336	64.335801495	64.846796501	0.511	3843.8	4218.8	4031.2	32.5	43.3	57.1	64.336	/Users/mary/Desktop/listens_20180309/completed_listens/file5e572cc8cb13.wav	file5e572cc8cb13.wav	64.336	3828.2	4343.6	WCSP	song first note
8	Spectrogram 1	1	73.085	73.084874362	74.258781809	1.174	3000.0	4687.5	3656.2	27.8	43.5	61.3	73.085	/Users/mary/Desktop/listens_20180309/completed_listens/file5e572cc8cb13.wav	file5e572cc8cb13.wav	73.085	2944.8	4834.4	WCSP	song faint
9	Spectrogram 1	1	87.688	87.687817046	88.889345844	1.202	3000.0	4781.2	3843.8	28.2	42.9	61.9	87.688	/Users/mary/Desktop/listens_20180309/completed_listens/file5e572cc8cb13.wav	file5e572cc8cb13.wav	87.688	2969.3	4883.4	WCSP	song faint
10	Spectrogram 1	1	96.750	96.750194836	98.062209041	1.312	2906.2	4125.0	3468.8	28.1	42.9	60.8	96.750	/Users/mary/Desktop/listens_20180309/completed_listens/file5e572cc8cb13.wav	file5e572cc8cb13.wav	96.750	2895.7	4269.9	WCSP	song very faint
11	Spectrogram 1	1	100.936	100.935592006	101.446587012	0.511	2718.8	3656.2	3187.5	31.0	47.5	58.6	100.936	/Users/mary/Desktop/listens_20180309/completed_listens/file5e572cc8cb13.wav	file5e572cc8cb13.wav	100.936	2625.8	3828.2	PIKA	
12	Spectrogram 1	1	107.625	107.624765202	108.232434939	0.608	3000.0	4312.5	3937.5	29.5	45.0	59.1	107.625	/Users/mary/Desktop/listens_20180309/completed_listens/file5e572cc8cb13.wav	file5e572cc8cb13.wav	107.625	2993.9	4466.3	WCSP	partial song
13	Spectrogram 1	1	113.444	113.444119566	113.886061192	0.442	3187.5	4406.2	3843.8	28.5	41.3	56.2	113.444	/Users/mary/Desktop/listens_20180309/completed_listens/file5e572cc8cb13.wav	file5e572cc8cb13.wav	113.444	3141.1	4466.3	GCRF	indistinguishable
14	Spectrogram 1	1	115.198	115.198075397	115.957662569	0.760	2906.2	3656.2	3281.2	29.8	41.3	57.9	115.198	/Users/mary/Desktop/listens_20180309/completed_listens/file5e572cc8cb13.wav	file5e572cc8cb13.wav	115.198	2871.2	3705.5	ROWR	indistinguishable
15	Spectrogram 1	1	123.095	123.094640202	123.467528449	0.373	2625.0	5812.5	3843.8	34.0	51.9	65.9	123.095	/Users/mary/Desktop/listens_20180309/completed_listens/file5e572cc8cb13.wav	file5e572cc8cb13.wav	123.095	2503.1	6699.4	PIKA	
16	Spectrogram 1	1	122.461	122.460574053	122.805840949	0.345	2906.2	5437.5	3937.5	30.8	48.6	60.8	122.461	/Users/mary/Desktop/listens_20180309/completed_listens/file5e572cc8cb13.wav	file5e572cc8cb13.wav	122.461	2797.5	5668.7	PIKA	
17	Spectrogram 1	1	138.393	138.393495425	139.608834899	1.215	3000.0	4218.8	3656.2	28.3	41.8	60.7	138.393	/Users/mary/Desktop/listens_20180309/completed_listens/file5e572cc8cb13.wav	file5e572cc8cb13.wav	138.393	2993.9	4368.1	WCSP	song faint
18	Spectrogram 1	1	143.940	143.940420634	144.299498206	0.359	2531.2	5625.0	2812.5	33.4	52.8	64.7	143.940	/Users/mary/Desktop/listens_20180309/completed_listens/file5e572cc8cb13.wav	file5e572cc8cb13.wav	143.940	2429.4	6135.0	PIKA	
19	Spectrogram 1	1	151.457	151.456931101	152.216518272	0.760	2718.8	4406.2	3375.0	29.5	43.6	61.0	151.457	/Users/mary/Desktop/listens_20180309/completed_listens/file5e572cc8cb13.wav	file5e572cc8cb13.wav	151.457	2674.8	4515.3	PIKA	
20	Spectrogram 1	1	153.279	153.278772772	154.756515087	1.478	4406.2	5718.8	5062.5	27.5	42.2	61.3	153.279	/Users/mary/Desktop/listens_20180309/completed_listens/file5e572cc8cb13.wav	file5e572cc8cb13.wav	153.279	4269.9	5840.5	DEJU	
21	Spectrogram 1	1	155.605	155.605326630	156.178469677	0.573	3000.0	4218.8	3750.0	29.8	46.4	59.1	155.605	/Users/mary/Desktop/listens_20180309/completed_listens/file5e572cc8cb13.wav	file5e572cc8cb13.wav	155.605	2969.3	4441.7	WCSP	partial song
22	Spectrogram 1	1	156.921	156.921353803	158.841037745	1.920	4312.5	5531.2	4968.8	27.9	42.0	62.5	156.921	/Users/mary/Desktop/listens_20180309/completed_listens/file5e572cc8cb13.wav	file5e572cc8cb13.wav	156.921	4147.2	5644.2	DEJU	
23	Spectrogram 1	1	161.548	161.547985905	162.680461324	1.132	3000.0	4218.8	3562.5	29.0	42.2	61.0	161.548	/Users/mary/Desktop/listens_20180309/completed_listens/file5e572cc8cb13.wav	file5e572cc8cb13.wav	161.548	2969.3	4319.0	WCSP	partial song
24	Spectrogram 1	1	160.264	160.263593052	162.045170235	1.782	4500.0	5718.8	5062.5	27.7	40.2	62.0	160.264	/Users/mary/Desktop/listens_20180309/completed_listens/file5e572cc8cb13.wav	file5e572cc8cb13.wav	160.264	4319.0	5816.0	DEJU	
25	Spectrogram 1	1	164.188	164.187986167	165.628415492	1.440	4218.8	5531.2	4875.0	27.8	41.2	61.4	164.188	/Users/mary/Desktop/listens_20180309/completed_listens/file5e572cc8cb13.wav	file5e572cc8cb13.wav	164.188	4073.6	5693.3	DEJU	
26	Spectrogram 1	1	168.247	168.246501770	169.867595111	1.621	4312.5	5531.2	4968.8	30.7	46.9	64.5	168.247	/Users/mary/Desktop/listens_20180309/completed_listens/file5e572cc8cb13.wav	file5e572cc8cb13.wav	168.247	4147.2	5717.8	DEJU	
27	Spectrogram 1	1	168.745	168.744548519	169.662517038	0.918	3000.0	4218.8	3562.5	29.9	43.4	61.0	168.745	/Users/mary/Desktop/listens_20180309/completed_listens/file5e572cc8cb13.wav	file5e572cc8cb13.wav	168.745	2993.9	4392.6	WCSP	partial song
28	Spectrogram 1	1	172.208	172.207919379	173.902254889	1.694	3468.8	5625.0	4687.5	28.4	43.7	64.5	172.208	/Users/mary/Desktop/listens_20180309/completed_listens/file5e572cc8cb13.wav	file5e572cc8cb13.wav	172.208	3337.4	5742.3	DEJU	
29	Spectrogram 1	1	175.592	175.591707589	176.812410406	1.221	2437.5	4125.0	3281.2	31.7	48.6	65.7	175.592	/Users/mary/Desktop/listens_20180309/completed_listens/file5e572cc8cb13.wav	file5e572cc8cb13.wav	175.592	2404.9	4490.8	WCSP	partial song
30	Spectrogram 1	1	173.776	173.776436463	173.937569235	0.161	2437.5	3093.8	2812.5	33.1	44.8	54.4	173.776	/Users/mary/Desktop/listens_20180309/completed_listens/file5e572cc8cb13.wav	file5e572cc8cb13.wav	173.776	2404.9	3214.7	PIKA	
31	Spectrogram 1	1	174.136	174.135584021	174.322028145	0.186	2437.5	3187.5	2812.5	32.4	39.9	54.9	174.136	/Users/mary/Desktop/listens_20180309/completed_listens/file5e572cc8cb13.wav	file5e572cc8cb13.wav	174.136	2355.8	3312.9	PIKA	
32	Spectrogram 1	1	174.543	174.542998959	174.694916393	0.152	2531.2	3281.2	2812.5	31.9	42.0	53.0	174.543	/Users/mary/Desktop/listens_20180309/completed_listens/file5e572cc8cb13.wav	file5e572cc8cb13.wav	174.543	2478.5	3337.4	PIKA	
33	Spectrogram 1	1	174.916	174.915887206	175.088520654	0.173	2531.2	3187.5	2812.5	32.7	42.9	54.4	174.916	/Users/mary/Desktop/listens_20180309/completed_listens/file5e572cc8cb13.wav	file5e572cc8cb13.wav	174.916	2503.1	3288.3	PIKA	
34	Spectrogram 1	1	175.372	175.371639509	175.530462281	0.159	2437.5	3093.8	2812.5	33.2	44.3	54.3	175.372	/Users/mary/Desktop/listens_20180309/completed_listens/file5e572cc8cb13.wav	file5e572cc8cb13.wav	175.372	2380.4	3239.3	PIKA	
35	Spectrogram 1	1	175.772	175.772149108	175.986214584	0.214	2531.2	3093.8	2812.5	33.3	45.6	55.4	175.772	/Users/mary/Desktop/listens_20180309/completed_listens/file5e572cc8cb13.wav	file5e572cc8cb13.wav	175.772	2454.0	3190.2	PIKA	
