Selection	View	Channel	Begin Clock Time	Begin Time (s)	End Time (s)	Delta Time (s)	Freq 5% (Hz)	Freq 95% (Hz)	Center Freq (Hz)	Avg Power (dB)	Max Power (dB)	Energy (dB)	Begin Date Time	Begin Path	Begin File	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	ID	NOTES
1	Spectrogram 1	1	2.388	2.388079092	5.388079092	3.000	1781.2	10968.8	7500.0	27.0	39.6	71.7	2.388	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575963e6a6.wav	file5e575963e6a6.wav	2.388	1413.0	11220.0	background	
2	Spectrogram 1	1	153.492	153.491889262	153.935803843	0.444	2062.5	3187.5	2718.8	29.1	42.2	56.7	153.492	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575963e6a6.wav	file5e575963e6a6.wav	153.492	2059.3	3330.5	UNK1	CLNU? STJA?
3	Spectrogram 1	1	197.667	197.666502220	197.870702927	0.204	2812.5	4125.0	3562.5	27.4	39.2	52.2	197.667	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575963e6a6.wav	file5e575963e6a6.wav	197.667	2745.8	4245.8	GCRF	
4	Spectrogram 1	1	225.552	225.551622845	225.968902551	0.417	2062.5	4218.8	2812.5	28.8	46.4	59.2	225.552	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575963e6a6.wav	file5e575963e6a6.wav	225.552	1957.6	4550.8	PIKA	
5	Spectrogram 1	1	217.546	217.546063847	220.546063847	3.000	1781.2	10968.8	7500.0	27.0	39.0	71.6	217.546	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575963e6a6.wav	file5e575963e6a6.wav	217.546	1413.0	11220.0	background	
6	Spectrogram 1	1	314.153	314.153487293	314.561888707	0.408	2250.0	7125.0	4875.0	38.2	58.1	73.5	314.153	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575963e6a6.wav	file5e575963e6a6.wav	314.153	991.5	9355.9	PIKA	
7	Spectrogram 1	1	320.094	320.094358270	327.108208643	7.014	1781.2	7875.0	4781.2	34.7	60.7	82.4	320.094	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575963e6a6.wav	file5e575963e6a6.wav	320.094	966.1	9533.9	PIKA	
8	Spectrogram 1	1	328.085	328.084820720	328.484343843	0.400	1781.2	7125.0	4406.2	36.0	56.5	71.2	328.085	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575963e6a6.wav	file5e575963e6a6.wav	328.085	864.4	9228.8	PIKA	
9	Spectrogram 1	1	329.168	329.167972297	329.505347378	0.337	1968.8	6750.0	4312.5	37.5	55.8	72.0	329.168	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575963e6a6.wav	file5e575963e6a6.wav	329.168	737.3	8923.7	PIKA	
10	Spectrogram 1	1	331.254	331.254370826	331.671650531	0.417	1687.5	6937.5	4312.5	36.8	59.8	72.2	331.254	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575963e6a6.wav	file5e575963e6a6.wav	331.254	813.6	9127.1	PIKA	
