Selection	View	Channel	Begin Clock Time	Begin Time (s)	End Time (s)	Delta Time (s)	Freq 5% (Hz)	Freq 95% (Hz)	Center Freq (Hz)	Avg Power (dB)	Max Power (dB)	Energy (dB)	Begin Date Time	Begin Path	Begin File	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	ID	NOTES
1	Spectrogram 1	1	0.007	0.007318852	2.981546542	2.974	3000.0	4968.8	3843.8	29.5	45.4	67.6	0.007	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57594aa124.wav	file5e57594aa124.wav	0.007	2962.0	5139.2	AMPI	
2	Spectrogram 1	1	0.016	0.016219697	0.220420404	0.204	6000.0	7312.5	6656.2	29.3	42.5	54.4	0.016	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57594aa124.wav	file5e57594aa124.wav	0.016	5848.1	7443.0	UNK1	*DEJU fledgling
3	Spectrogram 1	1	1.614	1.614312187	1.871782644	0.257	5906.2	7312.5	6562.5	28.3	39.6	54.6	1.614	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57594aa124.wav	file5e57594aa124.wav	1.614	5721.5	7468.4	UNK1	DEJU fledgling
4	Spectrogram 1	1	3.292	3.292309302	9.125346891	5.833	2625.0	6468.8	4218.8	32.5	55.6	77.0	3.292	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57594aa124.wav	file5e57594aa124.wav	3.292	2430.4	7139.2	AMPI	
5	Spectrogram 1	1	10.493	10.492560751	10.705639750	0.213	2156.2	5625.0	3375.0	31.4	42.9	60.8	10.493	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57594aa124.wav	file5e57594aa124.wav	10.493	2025.3	6177.2	PIKA	
6	Spectrogram 1	1	9.258	9.258478217	9.515948674	0.257	6093.8	7312.5	6750.0	28.2	41.4	53.9	9.258	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57594aa124.wav	file5e57594aa124.wav	9.258	5924.1	7316.5	UNK1	
7	Spectrogram 1	1	12.720	12.719611643	12.897177475	0.178	6093.8	7031.2	6562.5	28.0	38.9	50.7	12.720	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57594aa124.wav	file5e57594aa124.wav	12.720	6075.9	7113.9	UNK1	
8	Spectrogram 1	1	14.185	14.184529759	14.397608757	0.213	6093.8	7125.0	6562.5	28.5	39.5	52.7	14.185	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57594aa124.wav	file5e57594aa124.wav	14.185	5949.4	7215.2	UNK1	
9	Spectrogram 1	1	16.857	16.856895534	17.052217949	0.195	5906.2	7125.0	6468.8	28.1	39.2	52.6	16.857	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57594aa124.wav	file5e57594aa124.wav	16.857	5797.5	7215.2	UNK1	
10	Spectrogram 1	1	18.970	18.969928937	19.174129644	0.204	6187.5	7125.0	6562.5	29.3	42.2	53.0	18.970	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57594aa124.wav	file5e57594aa124.wav	18.970	6075.9	7215.2	UNK1	
11	Spectrogram 1	1	20.719	20.718952385	20.958666258	0.240	6000.0	7312.5	6562.5	28.9	43.9	54.5	20.719	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57594aa124.wav	file5e57594aa124.wav	20.719	6000.0	7417.7	UNK1	
12	Spectrogram 1	1	22.748	22.747924508	22.943246924	0.195	6281.2	7218.8	6656.2	28.9	39.8	51.9	22.748	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57594aa124.wav	file5e57594aa124.wav	22.748	6202.5	7291.1	UNK1	
13	Spectrogram 1	1	24.168	24.168451166	24.346016998	0.178	6187.5	7218.8	6656.2	28.4	37.1	51.7	24.168	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57594aa124.wav	file5e57594aa124.wav	24.168	6075.9	7240.5	UNK1	
14	Spectrogram 1	1	35.151	35.151481468	35.382317050	0.231	6000.0	6937.5	6375.0	33.1	48.7	57.9	35.151	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57594aa124.wav	file5e57594aa124.wav	35.151	5898.7	7164.6	UNK1	
