Selection	View	Channel	Begin Clock Time	Begin Time (s)	End Time (s)	Delta Time (s)	Freq 5% (Hz)	Freq 95% (Hz)	Center Freq (Hz)	Avg Power (dB)	Max Power (dB)	Energy (dB)	Begin Date Time	Begin Path	Begin File	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	ID	NOTES
1	Spectrogram 1	1	39.083	39.083296719	44.161679521	5.078	3843.8	6375.0	5156.2	25.5	36.0	67.1	39.083	/Users/mary/Desktop/listens_20180309/completed_listens/file5e572dbbca23.wav	file5e572dbbca23.wav	39.083	3706.3	6531.3	background	
2	Spectrogram 1	1	109.962	109.962236116	110.299611197	0.337	4875.0	6468.8	5531.2	28.5	48.3	56.6	109.962	/Users/mary/Desktop/listens_20180309/completed_listens/file5e572dbbca23.wav	file5e572dbbca23.wav	109.962	4691.1	6609.1	WCSP	
3	Spectrogram 1	1	115.369	115.369053031	115.706428113	0.337	4968.8	6468.8	5718.8	28.9	46.2	56.7	115.369	/Users/mary/Desktop/listens_20180309/completed_listens/file5e572dbbca23.wav	file5e572dbbca23.wav	115.369	4794.8	6609.1	WCSP	
4	Spectrogram 1	1	120.554	120.553942959	120.855804874	0.302	5250.0	6281.2	5625.0	29.0	47.0	55.0	120.554	/Users/mary/Desktop/listens_20180309/completed_listens/file5e572dbbca23.wav	file5e572dbbca23.wav	120.554	5079.9	6375.8	WCSP	
5	Spectrogram 1	1	127.603	127.603306499	127.922924997	0.320	5062.5	6375.0	5718.8	28.3	46.7	55.4	127.603	/Users/mary/Desktop/listens_20180309/completed_listens/file5e572dbbca23.wav	file5e572dbbca23.wav	127.603	4950.3	6479.5	WCSP	
6	Spectrogram 1	1	234.506	234.505869785	235.340429196	0.835	2718.8	4125.0	3281.2	26.6	41.4	57.6	234.506	/Users/mary/Desktop/listens_20180309/completed_listens/file5e572dbbca23.wav	file5e572dbbca23.wav	234.506	2695.5	4146.9	PIKA	
7	Spectrogram 1	1	238.009	238.008678953	239.411449027	1.403	3656.2	4781.2	4218.8	25.6	36.1	57.9	238.009	/Users/mary/Desktop/listens_20180309/completed_listens/file5e572dbbca23.wav	file5e572dbbca23.wav	238.009	3654.4	4872.6	GCRF	cheer cheer
8	Spectrogram 1	1	578.001	578.001419525	578.232255107	0.231	4968.8	6000.0	5531.2	28.2	42.7	52.6	578.001	/Users/mary/Desktop/listens_20180309/completed_listens/file5e572dbbca23.wav	file5e572dbbca23.wav	578.001	4846.7	6013.0	WCSP	
