Selection	View	Channel	Begin Clock Time	Begin Time (s)	End Time (s)	Delta Time (s)	Freq 5% (Hz)	Freq 95% (Hz)	Center Freq (Hz)	Avg Power (dB)	Max Power (dB)	Energy (dB)	Begin Date Time	Begin Path	Begin File	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	ID	NOTES
1	Spectrogram 1	1	3.447	3.446875007	6.446875007	3.000	1500.0	10781.2	3750.0	29.7	45.1	74.4	3.447	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5726c33305.wav	file5e5726c33305.wav	3.447	1413.0	11220.0	background	
2	Spectrogram 1	1	8.926	8.926103810	9.466309466	0.540	2062.5	5625.0	3000.0	31.2	46.5	64.8	8.926	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5726c33305.wav	file5e5726c33305.wav	8.926	1958.5	6279.8	PIKA	
3	Spectrogram 1	1	21.341	21.341053946	21.726915129	0.386	2156.2	6281.2	3468.8	37.2	58.8	71.3	21.341	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5726c33305.wav	file5e5726c33305.wav	21.341	1772.0	8393.8	PIKA	
4	Spectrogram 1	1	22.024	22.024269906	22.281510694	0.257	4500.0	5343.8	4875.0	30.1	43.9	54.3	22.024	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5726c33305.wav	file5e5726c33305.wav	22.024	4445.6	5471.5	UNK1	too faint
5	Spectrogram 1	1	52.749	52.749447102	52.980963812	0.232	4312.5	5156.2	4781.2	30.5	42.9	54.3	52.749	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5726c33305.wav	file5e5726c33305.wav	52.749	4228.0	5316.1	UNK1	too faint
6	Spectrogram 1	1	53.273	53.272503373	53.649789863	0.377	4500.0	5625.0	4968.8	28.6	41.8	55.5	53.273	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5726c33305.wav	file5e5726c33305.wav	53.273	4445.6	5720.2	UNK1	too faint
7	Spectrogram 1	1	102.503	102.503158329	102.923318284	0.420	1593.8	5718.8	3000.0	32.8	51.3	66.1	102.503	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5726c33305.wav	file5e5726c33305.wav	102.503	1585.5	6621.8	PIKA	
8	Spectrogram 1	1	103.627	103.626806983	114.168852668	10.542	2906.2	4687.5	3656.2	29.7	44.6	72.9	103.627	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5726c33305.wav	file5e5726c33305.wav	103.627	2829.0	4818.7	AMPI	too faint
9	Spectrogram 1	1	98.246	98.246036957	102.370464271	4.124	3093.8	4968.8	3843.8	29.3	41.9	68.6	98.246	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5726c33305.wav	file5e5726c33305.wav	98.246	3015.5	5129.5	AMPI	too faint
10	Spectrogram 1	1	114.195	114.195264611	118.534059250	4.339	2812.5	4687.5	3656.2	29.5	41.2	69.0	114.195	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5726c33305.wav	file5e5726c33305.wav	114.195	2766.8	4849.7	AMPI	too faint
11	Spectrogram 1	1	173.082	173.081768735	177.283368286	4.202	2718.8	5906.2	3843.8	28.9	41.6	70.6	173.082	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5726c33305.wav	file5e5726c33305.wav	173.082	2673.6	6279.8	AMPI	too faint
12	Spectrogram 1	1	201.101	201.101310047	201.332826757	0.232	3375.0	4968.8	4031.2	29.5	40.4	55.9	201.101	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5726c33305.wav	file5e5726c33305.wav	201.101	3295.3	5191.7	GCRF	
13	Spectrogram 1	1	211.671	211.671019669	213.626049664	1.955	3937.5	6187.5	5343.8	38.7	61.8	77.2	211.671	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5726c33305.wav	file5e5726c33305.wav	211.671	3590.6	7244.1	DEJU	song
14	Spectrogram 1	1	216.653	216.652916280	217.870522680	1.218	4031.2	6187.5	5437.5	43.4	64.0	79.5	216.653	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5726c33305.wav	file5e5726c33305.wav	216.653	3716.5	7023.6	DEJU	song
15	Spectrogram 1	1	221.120	221.119598378	223.023180215	1.904	3937.5	6281.2	5531.2	48.2	70.9	86.6	221.120	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5726c33305.wav	file5e5726c33305.wav	221.120	3494.8	7144.3	DEJU	song
16	Spectrogram 1	1	223.023	223.023180215	226.907516127	3.884	4406.2	5718.8	4875.0	32.3	52.6	70.7	223.023	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5726c33305.wav	file5e5726c33305.wav	223.023	4277.6	6056.8	AMPI	
17	Spectrogram 1	1	226.923	226.923090259	228.543707228	1.621	3937.5	6187.5	5531.2	50.9	69.0	88.3	226.923	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5726c33305.wav	file5e5726c33305.wav	226.923	3596.2	7041.0	DEJU	song
18	Spectrogram 1	1	228.475	228.475109685	230.344392750	1.869	4218.8	5437.5	4781.2	34.7	56.0	69.6	228.475	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5726c33305.wav	file5e5726c33305.wav	228.475	4050.5	5753.9	AMPI	
19	Spectrogram 1	1	232.538	232.538011747	232.889574159	0.352	4031.2	5250.0	4593.8	30.8	47.5	58.3	232.538	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5726c33305.wav	file5e5726c33305.wav	232.538	3936.9	5451.1	AMPI	
20	Spectrogram 1	1	236.838	236.837878294	241.356741485	4.519	2718.8	6937.5	4031.2	31.3	52.9	74.9	236.838	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5726c33305.wav	file5e5726c33305.wav	236.838	2536.3	7646.7	AMPI	
21	Spectrogram 1	1	241.382	241.382480532	247.659155780	6.277	4312.5	5062.5	4687.5	33.5	52.3	71.9	241.382	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5726c33305.wav	file5e5726c33305.wav	241.382	4201.9	5337.5	AMPI	
22	Spectrogram 1	1	247.691	247.690580260	251.626364330	3.936	3000.0	5906.2	4125.0	30.4	50.0	71.5	247.691	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5726c33305.wav	file5e5726c33305.wav	247.691	2839.1	6094.6	AMPI	
23	Spectrogram 1	1	234.272	234.271777936	234.614765654	0.343	4593.8	6000.0	5250.0	27.2	40.0	54.7	234.272	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5726c33305.wav	file5e5726c33305.wav	234.272	4580.4	6094.6	AMPI	*
24	Spectrogram 1	1	264.340	264.340352019	267.658758195	3.318	2718.8	5062.5	3656.2	30.0	45.5	69.4	264.340	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5726c33305.wav	file5e5726c33305.wav	264.340	2649.8	5261.8	AMPI	
25	Spectrogram 1	1	272.731	272.730784392	278.432955211	5.702	2625.0	6281.2	4031.2	30.4	51.1	74.2	272.731	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5726c33305.wav	file5e5726c33305.wav	272.731	2460.6	6700.3	AMPI	
26	Spectrogram 1	1	284.659	284.659262456	287.763301308	3.104	2625.0	5906.2	3656.2	29.8	48.3	70.5	284.659	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5726c33305.wav	file5e5726c33305.wav	284.659	2498.4	6208.2	AMPI	
27	Spectrogram 1	1	294.653	294.653499082	297.654641619	3.001	2531.2	6562.5	3843.8	30.5	53.1	72.0	294.653	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5726c33305.wav	file5e5726c33305.wav	294.653	2422.7	7116.7	AMPI	
