Selection	View	Channel	Begin Clock Time	Begin Time (s)	End Time (s)	Delta Time (s)	Freq 5% (Hz)	Freq 95% (Hz)	Center Freq (Hz)	Avg Power (dB)	Max Power (dB)	Energy (dB)	Begin Date Time	Begin Path	Begin File	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	ID	NOTES
1	Spectrogram 1	1	5.446	5.445533060	8.445533060	3.000	1593.8	10875.0	6093.8	27.6	42.9	72.3	5.446	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	5.446	1413.0	11220.0	background	
2	Spectrogram 1	1	13.726	13.726478694	13.923696632	0.197	3093.8	4125.0	3468.8	28.6	41.7	52.4	13.726	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	13.726	3050.8	4271.2	GCRF	*
3	Spectrogram 1	1	36.781	36.781022949	36.943942115	0.163	4781.2	6750.0	5812.5	27.7	40.7	53.2	36.781	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	36.781	4678.0	6874.6	WCSP	
4	Spectrogram 1	1	47.504	47.504474620	47.667393786	0.163	5718.8	7500.0	6562.5	28.2	42.0	53.8	47.504	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	47.504	5491.5	7688.1	WCSP	
5	Spectrogram 1	1	48.242	48.241898215	48.421966767	0.180	5718.8	7125.0	6468.8	27.9	40.6	52.8	48.242	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	48.242	5532.2	7281.4	WCSP	
6	Spectrogram 1	1	48.851	48.850701415	49.030769967	0.180	5437.5	7312.5	6468.8	28.6	43.5	54.5	48.851	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	48.851	5288.1	7484.7	WCSP	
7	Spectrogram 1	1	49.442	49.442355229	49.605274396	0.163	5437.5	7593.8	6562.5	26.8	38.4	52.7	49.442	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	49.442	5288.1	7769.5	WCSP	
8	Spectrogram 1	1	50.420	50.419870227	50.565640007	0.146	5343.8	6937.5	6093.8	27.1	38.9	51.4	50.420	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	50.420	5247.5	6955.9	WCSP	
9	Spectrogram 1	1	58.137	58.136520627	58.239416942	0.103	4218.8	5906.2	4968.8	28.0	38.8	51.0	58.137	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	58.137	4108.5	6061.0	UNK3	too faint
10	Spectrogram 1	1	70.262	70.262207556	70.922458914	0.660	2531.2	3843.8	3093.8	29.0	41.5	58.9	70.262	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	70.262	2440.7	3945.8	UNK4	too faint
11	Spectrogram 1	1	76.932	76.932496546	77.404104659	0.472	1781.2	3750.0	2531.2	29.3	42.1	59.6	76.932	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	76.932	1708.5	3986.4	PIKA	
12	Spectrogram 1	1	78.213	78.213321809	78.393390362	0.180	4781.2	7312.5	6281.2	35.0	56.0	63.7	78.213	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	78.213	3945.8	8013.6	WCSP	
13	Spectrogram 1	1	85.240	85.240486636	85.634922512	0.394	1968.8	4125.0	2906.2	28.4	40.4	58.2	85.240	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	85.240	1911.9	4352.5	PIKA	
14	Spectrogram 1	1	100.369	100.368992600	101.157864352	0.789	2343.8	3843.8	3093.8	28.5	40.4	59.8	100.369	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	100.369	2318.6	3986.4	PIKA	
15	Spectrogram 1	1	134.136	134.135815757	137.135815757	3.000	1593.8	10875.0	5906.2	27.7	40.7	72.3	134.136	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	134.136	1413.0	11220.0	background	
16	Spectrogram 1	1	143.231	143.230759792	143.565172817	0.334	2250.0	3750.0	2906.2	28.9	40.5	56.5	143.231	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	143.231	2237.3	3905.1	PIKA	
17	Spectrogram 1	1	163.942	163.941676685	164.070297079	0.129	4968.8	5812.5	5437.5	27.0	38.7	47.8	163.942	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	163.942	4922.0	5816.9	WCSP	
18	Spectrogram 1	1	164.756	164.756272516	164.910616989	0.154	4968.8	5906.2	5343.8	28.9	43.1	51.3	164.756	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	164.756	4840.7	5939.0	WCSP	
19	Spectrogram 1	1	165.571	165.570868347	165.725212821	0.154	4968.8	5812.5	5343.8	29.3	43.3	51.3	165.571	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	165.571	4840.7	5857.6	WCSP	
20	Spectrogram 1	1	167.406	167.405852641	167.534473036	0.129	4781.2	5906.2	5250.0	26.7	36.6	48.6	167.406	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	167.406	4718.6	5939.0	WCSP	
21	Spectrogram 1	1	168.272	168.271896630	168.409091718	0.137	4781.2	6000.0	5343.8	27.1	38.6	50.0	168.272	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	168.272	4678.0	6020.3	WCSP	
22	Spectrogram 1	1	169.009	169.009320225	169.172239391	0.163	4593.8	5718.8	5250.0	27.6	40.3	50.5	169.009	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	169.009	4555.9	5776.3	WCSP	
23	Spectrogram 1	1	169.755	169.755318513	169.901088293	0.146	4687.5	6000.0	5250.0	29.2	43.0	52.8	169.755	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	169.755	4555.9	6101.7	WCSP	
24	Spectrogram 1	1	170.690	170.689960045	170.827155133	0.137	4687.5	5906.2	5343.8	31.7	45.8	55.4	170.690	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	170.690	4433.9	6183.1	WCSP	
25	Spectrogram 1	1	171.822	171.821819516	172.001888069	0.180	4781.2	6187.5	5343.8	28.7	42.7	53.5	171.822	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	171.822	4637.3	6305.1	WCSP	
26	Spectrogram 1	1	173.065	173.065149996	173.202345083	0.137	4687.5	5906.2	5343.8	30.0	44.4	53.7	173.065	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	173.065	4474.6	6183.1	WCSP	
27	Spectrogram 1	1	174.390	174.390057914	174.535827694	0.146	4968.8	6281.2	5437.5	29.2	41.9	52.8	174.390	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	174.390	4840.7	6427.1	WCSP	
28	Spectrogram 1	1	175.265	175.264676596	175.436170455	0.171	4781.2	6093.8	5343.8	27.5	39.0	51.8	175.265	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	175.265	4596.6	6223.7	WCSP	
29	Spectrogram 1	1	176.199	176.199318129	176.345087909	0.146	4687.5	5906.2	5250.0	28.4	38.4	51.5	176.199	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	176.199	4637.3	6061.0	WCSP	
30	Spectrogram 1	1	177.160	177.159683741	177.271154749	0.111	4500.0	5906.2	5343.8	29.4	41.2	52.6	177.160	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	177.160	4311.9	6142.4	WCSP	
31	Spectrogram 1	1	177.923	177.922831414	178.034302423	0.111	4781.2	5906.2	5250.0	28.9	40.7	50.6	177.923	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	177.923	4637.3	5979.7	WCSP	
32	Spectrogram 1	1	179.389	179.389103911	179.492000226	0.103	4875.0	6093.8	5343.8	27.2	37.2	48.7	179.389	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	179.389	4759.3	6142.4	WCSP	
33	Spectrogram 1	1	183.884	183.883611154	184.012231548	0.129	4875.0	6000.0	5343.8	29.9	42.8	52.7	183.884	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	183.884	4759.3	6264.4	WCSP	
34	Spectrogram 1	1	184.647	184.646758827	184.843976765	0.197	4875.0	6000.0	5343.8	28.9	41.3	53.3	184.647	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	184.647	4759.3	6101.7	WCSP	
35	Spectrogram 1	1	185.513	185.512802816	185.641423211	0.129	4687.5	6093.8	5343.8	29.9	42.8	53.3	185.513	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	185.513	4515.3	6223.7	WCSP	
36	Spectrogram 1	1	186.465	186.464593735	186.610363515	0.146	4687.5	6000.0	5343.8	32.1	46.6	56.2	186.465	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	186.465	4474.6	6264.4	WCSP	
37	Spectrogram 1	1	187.305	187.304913645	187.467832812	0.163	4875.0	5812.5	5250.0	34.7	49.9	58.9	187.305	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	187.305	4515.3	6183.1	WCSP	
38	Spectrogram 1	1	188.402	188.402474344	188.522520046	0.120	4687.5	6000.0	5250.0	31.5	46.0	54.9	188.402	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	188.402	4433.9	6305.1	WCSP	
39	Spectrogram 1	1	189.217	189.217070176	189.414288114	0.197	4218.8	5812.5	5250.0	31.0	48.3	57.4	189.217	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	189.217	3905.1	6183.1	WCSP	
40	Spectrogram 1	1	190.346	190.345652341	190.499996815	0.154	4781.2	6093.8	5250.0	29.6	44.3	53.8	190.346	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	190.346	4596.6	6305.1	WCSP	
41	Spectrogram 1	1	191.160	191.160248173	191.383190190	0.223	4500.0	6000.0	5250.0	29.9	45.9	56.3	191.160	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	191.160	4311.9	6264.4	WCSP	
42	Spectrogram 1	1	191.975	191.974844004	192.172061942	0.197	4687.5	6000.0	5250.0	30.9	47.0	56.4	191.975	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	191.975	4555.9	6305.1	WCSP	
43	Spectrogram 1	1	192.652	192.652244748	192.815163914	0.163	4593.8	6000.0	5250.0	31.7	49.0	57.1	192.652	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	192.652	4230.5	6386.4	WCSP	
44	Spectrogram 1	1	193.201	193.201025098	193.381093650	0.180	4781.2	5906.2	5250.0	33.7	50.6	59.1	193.201	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	193.201	4352.5	6345.8	WCSP	
45	Spectrogram 1	1	193.964	193.964172771	194.144241323	0.180	4406.2	5906.2	5250.0	32.1	50.1	58.4	193.964	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	193.964	3986.4	6345.8	WCSP	
46	Spectrogram 1	1	194.762	194.761619217	194.915963690	0.154	3750.0	5906.2	5250.0	30.1	47.5	56.6	194.762	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	194.762	3376.3	6305.1	WCSP	
47	Spectrogram 1	1	195.876	195.876329302	196.056397854	0.180	3937.5	5906.2	5343.8	29.7	46.0	56.3	195.876	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	195.876	3701.7	6264.4	WCSP	
48	Spectrogram 1	1	196.622	196.622327589	196.802396142	0.180	4593.8	6000.0	5250.0	33.1	51.1	59.4	196.622	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	196.622	4189.8	6549.2	WCSP	
49	Spectrogram 1	1	197.488	197.488371578	197.659865438	0.171	4593.8	5906.2	5250.0	33.7	50.6	59.5	197.488	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	197.488	4149.2	6427.1	WCSP	
50	Spectrogram 1	1	198.312	198.311542103	198.508760041	0.197	4125.0	5812.5	5250.0	32.7	50.8	59.7	198.312	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	198.312	3742.4	6264.4	WCSP	
51	Spectrogram 1	1	200.039	200.038752903	200.227396148	0.189	4500.0	6093.8	5343.8	31.3	47.5	57.2	200.039	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	200.039	4311.9	6345.8	WCSP	
52	Spectrogram 1	1	201.522	201.522174785	201.676519259	0.154	4875.0	6187.5	5343.8	30.9	46.3	55.3	201.522	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	201.522	4637.3	6386.4	WCSP	
53	Spectrogram 1	1	203.525	203.524815961	203.679160435	0.154	4875.0	6187.5	5343.8	30.7	46.6	55.1	203.525	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	203.525	4637.3	6467.8	WCSP	
54	Spectrogram 1	1	204.554	204.553779117	204.708123590	0.154	4593.8	5812.5	5343.8	30.4	45.3	54.3	204.554	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	204.554	4474.6	6061.0	WCSP	
55	Spectrogram 1	1	205.540	205.539868807	205.677063895	0.137	4687.5	6187.5	5343.8	29.9	44.4	54.3	205.540	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	205.540	4433.9	6386.4	WCSP	
56	Spectrogram 1	1	208.069	208.069403231	208.258046476	0.189	4875.0	6000.0	5343.8	33.3	49.5	58.5	208.069	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	208.069	4596.6	6427.1	WCSP	
57	Spectrogram 1	1	208.807	208.806826826	208.978320685	0.171	4875.0	6093.8	5531.2	29.3	44.9	53.6	208.807	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	208.807	4718.6	6345.8	WCSP	
58	Spectrogram 1	1	209.767	209.767192437	209.930111604	0.163	4968.8	6093.8	5531.2	32.6	47.5	56.9	209.767	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	209.767	4759.3	6467.8	WCSP	
59	Spectrogram 1	1	210.685	210.684684584	210.899051908	0.214	4781.2	6187.5	5437.5	31.0	49.5	57.5	210.685	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5728d6fa7b.wav	file5e5728d6fa7b.wav	210.685	4433.9	6549.2	WCSP	
