Selection	View	Channel	Begin Clock Time	Begin Time (s)	End Time (s)	Delta Time (s)	Freq 5% (Hz)	Freq 95% (Hz)	Center Freq (Hz)	Avg Power (dB)	Max Power (dB)	Energy (dB)	Begin Date Time	Begin Path	Begin File	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	ID	NOTES
1	Spectrogram 1	1	1.689	1.688858578	7.274794671	5.586	1875.0	10968.8	7125.0	26.5	39.0	73.8	1.689	/Users/mary/Desktop/listens_20180309/completed_listens/file5e573c607fbc.wav	file5e573c607fbc.wav	1.689	1413.0	11220.0	background	1413-11220
2	Spectrogram 1	1	23.806	23.805754520	34.743251764	10.937	5343.8	6937.5	6187.5	26.1	41.1	69.2	23.806	/Users/mary/Desktop/listens_20180309/completed_listens/file5e573c607fbc.wav	file5e573c607fbc.wav	23.806	5212.1	7060.6	WCSP	*DEJU
3	Spectrogram 1	1	37.725	37.725128496	38.135284643	0.410	5906.2	7312.5	6656.2	26.7	36.5	54.9	37.725	/Users/mary/Desktop/listens_20180309/completed_listens/file5e573c607fbc.wav	file5e573c607fbc.wav	37.725	5787.9	7363.6	WCSP	*DEJU
4	Spectrogram 1	1	41.299	41.299346345	41.650908757	0.352	6750.0	7968.8	7312.5	27.4	39.0	54.1	41.299	/Users/mary/Desktop/listens_20180309/completed_listens/file5e573c607fbc.wav	file5e573c607fbc.wav	41.299	6666.7	7969.7	WCSP	*DEJU
5	Spectrogram 1	1	42.022	42.022002413	42.295439844	0.273	6281.2	7593.8	7031.2	27.4	38.9	53.7	42.022	/Users/mary/Desktop/listens_20180309/completed_listens/file5e573c607fbc.wav	file5e573c607fbc.wav	42.022	6151.5	7757.6	WCSP	*DEJU
6	Spectrogram 1	1	45.506	45.505753653	51.072158501	5.566	6093.8	7593.8	6843.8	26.5	40.1	66.5	45.506	/Users/mary/Desktop/listens_20180309/completed_listens/file5e573c607fbc.wav	file5e573c607fbc.wav	45.506	6000.0	7757.6	WCSP	*DEJU
7	Spectrogram 1	1	54.119	54.119032733	55.740126075	1.621	6281.2	7875.0	7125.0	26.7	39.0	61.5	54.119	/Users/mary/Desktop/listens_20180309/completed_listens/file5e573c607fbc.wav	file5e573c607fbc.wav	54.119	6181.8	7969.7	WCSP	*DEJU
8	Spectrogram 1	1	50.279	50.279381649	52.183678044	1.904	2812.5	3843.8	3281.2	26.2	38.9	59.5	50.279	/Users/mary/Desktop/listens_20180309/completed_listens/file5e573c607fbc.wav	file5e573c607fbc.wav	50.279	2787.9	3848.5	ROWR	
9	Spectrogram 1	1	54.805	54.805184209	55.205574734	0.400	1031.2	2625.0	1875.0	27.7	36.3	56.2	54.805	/Users/mary/Desktop/listens_20180309/completed_listens/file5e573c607fbc.wav	file5e573c607fbc.wav	54.805	969.7	2787.9	CLNU	
10	Spectrogram 1	1	55.577	55.576668390	56.104012007	0.527	1031.2	2343.8	1687.5	27.6	36.0	56.6	55.577	/Users/mary/Desktop/listens_20180309/completed_listens/file5e573c607fbc.wav	file5e573c607fbc.wav	55.577	1030.3	2484.8	CLNU	
