Selection	View	Channel	Begin Clock Time	Begin Time (s)	End Time (s)	Delta Time (s)	Freq 5% (Hz)	Freq 95% (Hz)	Center Freq (Hz)	Avg Power (dB)	Max Power (dB)	Energy (dB)	Begin Date Time	Begin Path	Begin File	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	ID	NOTES
1	Spectrogram 1	1	2.452	2.451827234	2.852336833	0.401	3656.2	4781.2	4406.2	31.2	52.9	58.9	2.452	/Users/mary/Desktop/listens_20180309/completed_listens/file5e573a02532c.wav	file5e573a02532c.wav	2.452	3465.0	4917.2	ROWR	
2	Spectrogram 1	1	6.971	6.971458754	7.137186864	0.166	6562.5	7406.2	6750.0	41.3	62.0	65.5	6.971	/Users/mary/Desktop/listens_20180309/completed_listens/file5e573a02532c.wav	file5e573a02532c.wav	6.971	6165.6	7694.3	DEJU	
3	Spectrogram 1	1	18.520	18.520487182	21.520487182	3.000	1781.2	10968.8	7125.0	26.7	38.7	71.4	18.520	/Users/mary/Desktop/listens_20180309/completed_listens/file5e573a02532c.wav	file5e573a02532c.wav	18.520	1413.0	11220.0	background	1413-11220
4	Spectrogram 1	1	79.305	79.304960966	79.719281242	0.414	1781.2	3562.5	2437.5	27.4	40.5	56.5	79.305	/Users/mary/Desktop/listens_20180309/completed_listens/file5e573a02532c.wav	file5e573a02532c.wav	79.305	1732.5	3694.3	PIKA	very faint
5	Spectrogram 1	1	88.159	88.158695506	88.517773078	0.359	2343.8	4031.2	2625.0	29.8	44.5	58.5	88.159	/Users/mary/Desktop/listens_20180309/completed_listens/file5e573a02532c.wav	file5e573a02532c.wav	88.159	2165.6	4254.8	PIKA	
6	Spectrogram 1	1	105.626	105.626323387	106.095886365	0.470	3656.2	5062.5	4593.8	30.5	53.2	60.2	105.626	/Users/mary/Desktop/listens_20180309/completed_listens/file5e573a02532c.wav	file5e573a02532c.wav	105.626	3286.6	5324.8	ROWR	
7	Spectrogram 1	1	129.662	129.662345940	130.297111405	0.635	1875.0	3562.5	2625.0	28.1	40.4	59.1	129.662	/Users/mary/Desktop/listens_20180309/completed_listens/file5e573a02532c.wav	file5e573a02532c.wav	129.662	1758.0	3694.3	PIKA	
8	Spectrogram 1	1	131.947	131.946920430	132.271471313	0.325	3843.8	5156.2	4687.5	30.9	51.4	58.5	131.947	/Users/mary/Desktop/listens_20180309/completed_listens/file5e573a02532c.wav	file5e573a02532c.wav	131.947	3592.4	5401.3	ROWR	
9	Spectrogram 1	1	134.394	134.394136444	134.670349961	0.276	3843.8	5156.2	4500.0	27.6	45.5	54.1	134.394	/Users/mary/Desktop/listens_20180309/completed_listens/file5e573a02532c.wav	file5e573a02532c.wav	134.394	3745.2	5273.9	ROWR	
10	Spectrogram 1	1	176.624	176.623887790	177.031302727	0.407	6281.2	7968.8	7125.0	27.5	39.4	56.6	176.624	/Users/mary/Desktop/listens_20180309/completed_listens/file5e573a02532c.wav	file5e573a02532c.wav	176.624	6165.6	8152.9	AMRO	faint chuckle
