Selection	View	Channel	Begin Clock Time	Begin Time (s)	End Time (s)	Delta Time (s)	Freq 5% (Hz)	Freq 95% (Hz)	Center Freq (Hz)	Avg Power (dB)	Max Power (dB)	Energy (dB)	Begin Date Time	Begin Path	Begin File	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	ID	NOTES
1	Spectrogram 1	1	0.571	0.571218790	0.730041562	0.159	1968.8	4031.2	3375.0	28.9	41.4	54.4	0.571	/Users/mary/Desktop/listens_20180309/completed_listens/file5e574d313459.wav	file5e574d313459.wav	0.571	1818.2	4181.8	GCRF	
2	Spectrogram 1	1	1.296	1.296279272	1.496534072	0.200	2437.5	3937.5	2812.5	27.6	40.8	53.1	1.296	/Users/mary/Desktop/listens_20180309/completed_listens/file5e574d313459.wav	file5e574d313459.wav	1.296	2272.7	4090.9	GCRF	
3	Spectrogram 1	1	1.863	1.862516981	2.297553270	0.435	3093.8	4218.8	3656.2	28.4	44.4	56.2	1.863	/Users/mary/Desktop/listens_20180309/completed_listens/file5e574d313459.wav	file5e574d313459.wav	1.863	2969.7	4363.6	GCRF	
4	Spectrogram 1	1	2.588	2.587577463	2.939749697	0.352	3093.8	4312.5	3843.8	27.5	40.6	54.1	2.588	/Users/mary/Desktop/listens_20180309/completed_listens/file5e574d313459.wav	file5e574d313459.wav	2.588	3090.9	4393.9	GCRF	
5	Spectrogram 1	1	3.686	3.685526192	3.878875654	0.193	1593.8	4218.8	3187.5	28.6	42.1	56.5	3.686	/Users/mary/Desktop/listens_20180309/completed_listens/file5e574d313459.wav	file5e574d313459.wav	3.686	1393.9	4575.8	GCRF	
6	Spectrogram 1	1	6.366	6.366075445	6.517992879	0.152	1687.5	3843.8	3187.5	29.3	43.1	55.2	6.366	/Users/mary/Desktop/listens_20180309/completed_listens/file5e574d313459.wav	file5e574d313459.wav	6.366	1575.8	4090.9	GCRF	
7	Spectrogram 1	1	9.500	9.500089654	10.149191419	0.649	1968.8	4406.2	3187.5	28.0	44.0	60.6	9.500	/Users/mary/Desktop/listens_20180309/completed_listens/file5e574d313459.wav	file5e574d313459.wav	9.500	1787.9	4606.1	GCRF	
8	Spectrogram 1	1	9.501	9.500626237	14.562238932	5.062	656.2	1593.8	843.8	33.9	48.1	71.8	9.501	/Users/mary/Desktop/listens_20180309/completed_listens/file5e574d313459.wav	file5e574d313459.wav	9.501	636.4	1787.9	insect	
9	Spectrogram 1	1	14.435	14.435114614	14.545600021	0.110	2625.0	4031.2	3656.2	29.9	41.5	53.2	14.435	/Users/mary/Desktop/listens_20180309/completed_listens/file5e574d313459.wav	file5e574d313459.wav	14.435	2424.2	4242.4	GCRF	
10	Spectrogram 1	1	16.408	16.408435468	16.967767839	0.559	2437.5	8906.2	3656.2	40.9	65.3	77.9	16.408	/Users/mary/Desktop/listens_20180309/completed_listens/file5e574d313459.wav	file5e574d313459.wav	16.408	2121.2	11121.2	PIKA	
11	Spectrogram 1	1	25.462	25.462101461	25.828084371	0.366	3187.5	8906.2	4406.2	40.4	60.0	75.8	25.462	/Users/mary/Desktop/listens_20180309/completed_listens/file5e574d313459.wav	file5e574d313459.wav	25.462	1181.8	10787.9	PIKA	
12	Spectrogram 1	1	32.140	32.139589654	32.250075061	0.110	2906.2	3937.5	3656.2	29.9	42.3	51.3	32.140	/Users/mary/Desktop/listens_20180309/completed_listens/file5e574d313459.wav	file5e574d313459.wav	32.140	2787.9	4121.2	GCRF	
13	Spectrogram 1	1	33.569	33.568994604	33.720912038	0.152	1500.0	4125.0	2718.8	27.6	38.1	53.9	33.569	/Users/mary/Desktop/listens_20180309/completed_listens/file5e574d313459.wav	file5e574d313459.wav	33.569	1393.9	4303.0	GCRF	
