Selection	View	Channel	Begin Clock Time	Begin Time (s)	End Time (s)	Delta Time (s)	Freq 5% (Hz)	Freq 95% (Hz)	Center Freq (Hz)	Avg Power (dB)	Max Power (dB)	Energy (dB)	Begin Date Time	Begin Path	Begin File	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	ID	NOTES
1	Spectrogram 1	1	3.554	3.554214956	4.002893498	0.449	3843.8	7031.2	5531.2	27.5	45.0	59.6	3.554	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5738c37772.wav	file5e5738c37772.wav	3.554	3742.4	7240.7	AMPI	
2	Spectrogram 1	1	6.983	6.983050035	9.983050035	3.000	1593.8	10687.5	3656.2	28.7	46.3	73.4	6.983	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5738c37772.wav	file5e5738c37772.wav	6.983	1413.0	11220.0	background	
3	Spectrogram 1	1	17.171	17.170571833	17.643503269	0.473	3937.5	6750.0	5531.2	28.1	44.2	60.0	17.171	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5738c37772.wav	file5e5738c37772.wav	17.171	3661.0	6996.6	AMPI	
4	Spectrogram 1	1	22.315	22.315405866	22.838462136	0.523	2812.5	6468.8	4312.5	28.2	46.6	61.6	22.315	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5738c37772.wav	file5e5738c37772.wav	22.315	2644.1	6752.5	AMPI	
5	Spectrogram 1	1	27.961	27.961271172	28.124190339	0.163	4406.2	7031.2	6093.8	30.3	47.8	57.7	27.961	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5738c37772.wav	file5e5738c37772.wav	27.961	4067.8	7322.0	AMPI	
6	Spectrogram 1	1	31.134	31.133907568	31.519768751	0.386	3750.0	6656.2	5437.5	28.3	43.9	59.4	31.134	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5738c37772.wav	file5e5738c37772.wav	31.134	3498.3	6874.6	AMPI	
7	Spectrogram 1	1	39.508	39.507527225	39.850514943	0.343	3937.5	6843.8	5531.2	28.8	45.8	59.5	39.508	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5738c37772.wav	file5e5738c37772.wav	39.508	3661.0	7200.0	AMPI	
8	Spectrogram 1	1	45.518	45.517564856	45.869127268	0.352	4218.8	6937.5	5718.8	27.6	43.4	58.1	45.518	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5738c37772.wav	file5e5738c37772.wav	45.518	3945.8	7200.0	AMPI	
9	Spectrogram 1	1	57.037	57.037184769	57.371597794	0.334	3750.0	6562.5	5062.5	28.3	43.7	58.7	57.037	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5738c37772.wav	file5e5738c37772.wav	57.037	3498.3	6833.9	AMPI	
10	Spectrogram 1	1	63.730	63.729549593	64.063962619	0.334	4406.2	7031.2	5906.2	28.6	45.2	58.7	63.730	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5738c37772.wav	file5e5738c37772.wav	63.730	4189.8	7240.7	AMPI	
