Selection	View	Channel	Begin Clock Time	Begin Time (s)	End Time (s)	Delta Time (s)	Freq 5% (Hz)	Freq 95% (Hz)	Center Freq (Hz)	Avg Power (dB)	Max Power (dB)	Energy (dB)	Begin Date Time	Begin Path	Begin File	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	ID	NOTES
1	Spectrogram 1	1	0.217	0.217327877	0.411351031	0.194	3187.5	4687.5	4031.2	35.4	49.7	61.6	0.217	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5748bae1a5.wav	file5e5748bae1a5.wav	0.217	2969.5	5084.7	GCRF	
2	Spectrogram 1	1	0.648	0.647816749	0.853966349	0.206	3000.0	4593.8	3937.5	32.5	47.0	58.8	0.648	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5748bae1a5.wav	file5e5748bae1a5.wav	0.648	2847.5	4922.0	GCRF	
3	Spectrogram 1	1	0.557	0.556868396	0.672069643	0.115	5156.2	5531.2	5343.8	38.4	51.5	59.6	0.557	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5748bae1a5.wav	file5e5748bae1a5.wav	0.557	4759.3	5857.6	WCSP	
4	Spectrogram 1	1	1.921	1.921093692	2.030231716	0.109	4781.2	5343.8	5250.0	39.0	53.5	61.3	1.921	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5748bae1a5.wav	file5e5748bae1a5.wav	1.921	4149.2	5735.6	WCSP	
5	Spectrogram 1	1	3.255	3.255002871	3.430836353	0.176	4968.8	6000.0	5437.5	35.0	53.3	59.7	3.255	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5748bae1a5.wav	file5e5748bae1a5.wav	3.255	4637.3	6305.1	WCSP	
6	Spectrogram 1	1	1.715	1.714944092	1.933220139	0.218	2906.2	4593.8	3937.5	33.2	48.3	60.0	1.715	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5748bae1a5.wav	file5e5748bae1a5.wav	1.715	2806.8	4881.4	GCRF	
7	Spectrogram 1	1	2.218	2.218191646	2.345519340	0.127	3468.8	4406.2	3937.5	31.7	41.2	53.3	2.218	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5748bae1a5.wav	file5e5748bae1a5.wav	2.218	3376.3	4555.9	GCRF	
8	Spectrogram 1	1	2.697	2.697186305	2.885146235	0.188	3093.8	4406.2	3843.8	32.8	43.4	57.8	2.697	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5748bae1a5.wav	file5e5748bae1a5.wav	2.697	2928.8	4678.0	GCRF	
9	Spectrogram 1	1	3.164	3.164054518	3.352014447	0.188	3187.5	4593.8	3937.5	33.6	48.7	59.1	3.164	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5748bae1a5.wav	file5e5748bae1a5.wav	3.164	3050.8	4881.4	GCRF	
10	Spectrogram 1	1	3.649	3.649112401	3.788566542	0.139	3375.0	4875.0	4031.2	33.5	47.8	58.1	3.649	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5748bae1a5.wav	file5e5748bae1a5.wav	3.649	3132.2	5206.8	GCRF	
