Selection	View	Channel	Begin Clock Time	Begin Time (s)	End Time (s)	Delta Time (s)	Freq 5% (Hz)	Freq 95% (Hz)	Center Freq (Hz)	Avg Power (dB)	Max Power (dB)	Energy (dB)	Begin Date Time	Begin Path	Begin File	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	ID	NOTES
1	Spectrogram 1	1	0.099	0.099265895	1.227025474	1.128	2906.2	4312.5	3843.8	28.9	46.8	61.9	0.099	/Users/mary/Desktop/listens_20180309/file5e57656821fb.wav	file5e57656821fb.wav	0.099	2730.8	4538.5	GCRF	
2	Spectrogram 1	1	2.306	2.306279264	3.834211596	1.528	2812.5	4593.8	3750.0	28.2	45.2	63.4	2.306	/Users/mary/Desktop/listens_20180309/file5e57656821fb.wav	file5e57656821fb.wav	2.306	2576.9	4692.3	GCRF	
3	Spectrogram 1	1	5.696	5.695621223	5.883581152	0.188	3000.0	4593.8	3843.8	27.2	39.5	52.8	5.696	/Users/mary/Desktop/listens_20180309/file5e57656821fb.wav	file5e57656821fb.wav	5.696	2846.2	4692.3	GCRF	
4	Spectrogram 1	1	7.773	7.772951018	7.942721278	0.170	2812.5	4312.5	3562.5	28.3	40.9	53.1	7.773	/Users/mary/Desktop/listens_20180309/file5e57656821fb.wav	file5e57656821fb.wav	7.773	2692.3	4461.5	GCRF	
5	Spectrogram 1	1	10.738	10.737867329	10.877321471	0.139	2906.2	4406.2	3656.2	27.6	40.4	51.5	10.738	/Users/mary/Desktop/listens_20180309/file5e57656821fb.wav	file5e57656821fb.wav	10.738	2769.2	4576.9	GCRF	
6	Spectrogram 1	1	12.156	12.156232406	15.156232406	3.000	2156.2	11062.5	8156.2	27.4	41.1	72.1	12.156	/Users/mary/Desktop/listens_20180309/file5e57656821fb.wav	file5e57656821fb.wav	12.156	1413.0	11220.0	background	
7	Spectrogram 1	1	17.381	17.380662050	17.520116192	0.139	2906.2	4406.2	3843.8	27.4	37.9	51.5	17.381	/Users/mary/Desktop/listens_20180309/file5e57656821fb.wav	file5e57656821fb.wav	17.381	2807.7	4538.5	GCRF	
8	Spectrogram 1	1	17.987	17.986984404	18.120375322	0.133	2906.2	4500.0	3843.8	26.5	38.0	50.5	17.987	/Users/mary/Desktop/listens_20180309/file5e57656821fb.wav	file5e57656821fb.wav	17.987	2730.8	4615.4	GCRF	
9	Spectrogram 1	1	18.314	18.314398476	18.453852617	0.139	2812.5	4593.8	3750.0	26.7	36.4	51.5	18.314	/Users/mary/Desktop/listens_20180309/file5e57656821fb.wav	file5e57656821fb.wav	18.314	2692.3	4692.3	GCRF	
10	Spectrogram 1	1	18.836	18.835835700	18.957100171	0.121	3000.0	4593.8	3937.5	27.8	39.0	51.4	18.836	/Users/mary/Desktop/listens_20180309/file5e57656821fb.wav	file5e57656821fb.wav	18.836	2884.6	4769.2	GCRF	
