Selection	View	Channel	Begin Clock Time	Begin Time (s)	End Time (s)	Delta Time (s)	Freq 5% (Hz)	Freq 95% (Hz)	Center Freq (Hz)	Avg Power (dB)	Max Power (dB)	Energy (dB)	Begin Date Time	Begin Path	Begin File	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	ID	NOTES
1	Spectrogram 1	1	0.913	0.912518778	1.341588319	0.429	2437.5	3843.8	3187.5	32.3	45.0	60.9	0.913	/Users/mary/Desktop/listens_20180309/completed_listens/file5e573c01953a.wav	file5e573c01953a.wav	0.913	2412.4	4082.5	PIKA	
2	Spectrogram 1	1	14.090	14.089843323	15.617330888	1.527	3750.0	5718.8	5062.5	39.8	61.2	76.9	14.090	/Users/mary/Desktop/listens_20180309/completed_listens/file5e573c01953a.wav	file5e573c01953a.wav	14.090	3030.9	6402.1	DEJU	
3	Spectrogram 1	1	18.877	18.877197151	20.936730946	2.060	3562.5	5812.5	5062.5	42.3	63.0	81.3	18.877	/Users/mary/Desktop/listens_20180309/completed_listens/file5e573c01953a.wav	file5e573c01953a.wav	18.877	2783.5	6587.6	DEJU	
4	Spectrogram 1	1	21.759	21.759313769	22.002032154	0.243	3000.0	4125.0	3562.5	29.3	41.9	54.1	21.759	/Users/mary/Desktop/listens_20180309/completed_listens/file5e573c01953a.wav	file5e573c01953a.wav	21.759	2938.1	4206.2	CAFI	call
5	Spectrogram 1	1	24.863	24.863232603	26.161775966	1.299	3562.5	5718.8	5062.5	42.5	62.1	79.1	24.863	/Users/mary/Desktop/listens_20180309/completed_listens/file5e573c01953a.wav	file5e573c01953a.wav	24.863	2907.2	6494.8	DEJU	
6	Spectrogram 1	1	26.635	26.635076817	26.780707848	0.146	3000.0	4312.5	3562.5	29.3	41.7	52.6	26.635	/Users/mary/Desktop/listens_20180309/completed_listens/file5e573c01953a.wav	file5e573c01953a.wav	26.635	2938.1	4422.7	CAFI	
7	Spectrogram 1	1	28.128	28.127794888	28.334105515	0.206	3000.0	4500.0	3656.2	30.1	45.3	55.5	28.128	/Users/mary/Desktop/listens_20180309/completed_listens/file5e573c01953a.wav	file5e573c01953a.wav	28.128	2969.1	4670.1	CAFI	
8	Spectrogram 1	1	29.509	29.508724976	29.708967644	0.200	3000.0	4125.0	3562.5	30.8	42.2	55.0	29.509	/Users/mary/Desktop/listens_20180309/completed_listens/file5e573c01953a.wav	file5e573c01953a.wav	29.509	2938.1	4268.0	CAFI	call
9	Spectrogram 1	1	30.085	30.085181141	31.741734122	1.657	3562.5	5718.8	4968.8	42.5	61.7	80.3	30.085	/Users/mary/Desktop/listens_20180309/completed_listens/file5e573c01953a.wav	file5e573c01953a.wav	30.085	2907.2	6587.6	DEJU	
10	Spectrogram 1	1	32.464	32.463981007	32.664223675	0.200	2625.0	4406.2	3468.8	33.4	48.0	60.0	32.464	/Users/mary/Desktop/listens_20180309/completed_listens/file5e573c01953a.wav	file5e573c01953a.wav	32.464	2474.2	4701.0	CAFI	
11	Spectrogram 1	1	34.363	34.363252373	34.618106678	0.255	2718.8	4593.8	3468.8	32.6	48.2	60.1	34.363	/Users/mary/Desktop/listens_20180309/completed_listens/file5e573c01953a.wav	file5e573c01953a.wav	34.363	2628.9	4917.5	CAFI	
