Selection	View	Channel	Begin Clock Time	Begin Time (s)	End Time (s)	Delta Time (s)	Freq 5% (Hz)	Freq 95% (Hz)	Center Freq (Hz)	Avg Power (dB)	Max Power (dB)	Energy (dB)	Begin Date Time	Begin Path	Begin File	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	ID	NOTES
1	Spectrogram 1	1	42.907	42.906793598	44.457434949	1.551	1875.0	5156.2	3468.8	26.5	44.9	64.1	42.907	/Users/mary/Desktop/listens_20180309/completed_listens/file5e573d3d74a.wav	file5e573d3d74a.wav	42.907	1696.3	5361.3	GCRF	
2	Spectrogram 1	1	46.613	46.613305807	47.146927324	0.534	5156.2	5906.2	5531.2	27.2	43.4	53.8	46.613	/Users/mary/Desktop/listens_20180309/completed_listens/file5e573d3d74a.wav	file5e573d3d74a.wav	46.613	5068.1	5947.6	WCSP	
3	Spectrogram 1	1	73.566	73.566354541	73.817470549	0.251	3187.5	4687.5	3656.2	27.5	42.0	54.0	73.566	/Users/mary/Desktop/listens_20180309/completed_listens/file5e573d3d74a.wav	file5e573d3d74a.wav	73.566	3015.7	4858.6	GCRF	
4	Spectrogram 1	1	70.283	70.283012734	70.502739241	0.220	3187.5	4312.5	3656.2	27.3	38.7	52.2	70.283	/Users/mary/Desktop/listens_20180309/completed_listens/file5e573d3d74a.wav	file5e573d3d74a.wav	70.283	3057.6	4439.8	GCRF	
5	Spectrogram 1	1	77.459	77.459498715	79.167087570	1.708	2718.8	4500.0	3562.5	26.0	42.1	61.4	77.459	/Users/mary/Desktop/listens_20180309/completed_listens/file5e573d3d74a.wav	file5e573d3d74a.wav	77.459	2596.9	4649.2	GCRF	
6	Spectrogram 1	1	127.788	127.787891888	129.859598956	2.072	2625.0	6656.2	4687.5	25.5	35.3	65.2	127.788	/Users/mary/Desktop/listens_20180309/completed_listens/file5e573d3d74a.wav	file5e573d3d74a.wav	127.788	2408.4	6931.9	background	
7	Spectrogram 1	1	189.865	189.865333973	190.216896384	0.352	2250.0	3750.0	3093.8	29.3	41.7	57.5	189.865	/Users/mary/Desktop/listens_20180309/completed_listens/file5e573d3d74a.wav	file5e573d3d74a.wav	189.865	2136.1	3979.1	PIKA	
8	Spectrogram 1	1	288.539	288.539429167	288.828212577	0.289	3281.2	4593.8	4031.2	27.2	40.3	53.8	288.539	/Users/mary/Desktop/listens_20180309/completed_listens/file5e573d3d74a.wav	file5e573d3d74a.wav	288.539	3120.4	4774.9	GCRF	
9	Spectrogram 1	1	312.543	312.543396758	312.744289565	0.201	6375.0	7406.2	6843.8	27.1	41.0	50.7	312.543	/Users/mary/Desktop/listens_20180309/completed_listens/file5e573d3d74a.wav	file5e573d3d74a.wav	312.543	6366.5	7455.5	WCSP	high call
10	Spectrogram 1	1	316.803	316.802874836	317.053990844	0.251	5062.5	6656.2	5812.5	27.5	40.2	54.2	316.803	/Users/mary/Desktop/listens_20180309/completed_listens/file5e573d3d74a.wav	file5e573d3d74a.wav	316.803	4921.5	6764.4	WCSP	high call
11	Spectrogram 1	1	318.184	318.184012881	318.435128889	0.251	4687.5	6000.0	5156.2	27.6	44.2	53.6	318.184	/Users/mary/Desktop/listens_20180309/completed_listens/file5e573d3d74a.wav	file5e573d3d74a.wav	318.184	4502.6	6178.0	WCSP	high call
12	Spectrogram 1	1	327.316	327.315903869	327.554464077	0.239	4500.0	5343.8	4968.8	27.7	41.5	51.7	327.316	/Users/mary/Desktop/listens_20180309/completed_listens/file5e573d3d74a.wav	file5e573d3d74a.wav	327.316	4487.0	5508.8	WCSP	high call
13	Spectrogram 1	1	322.782	322.782440566	323.058668175	0.276	4781.2	5343.8	5062.5	28.0	44.5	50.6	322.782	/Users/mary/Desktop/listens_20180309/completed_listens/file5e573d3d74a.wav	file5e573d3d74a.wav	322.782	4709.1	5390.3	WCSP	high call
14	Spectrogram 1	1	324.226	324.226218276	324.489890085	0.264	4687.5	5437.5	5062.5	27.7	41.6	51.1	324.226	/Users/mary/Desktop/listens_20180309/completed_listens/file5e573d3d74a.wav	file5e573d3d74a.wav	324.226	4679.5	5494.0	WCSP	high call
15	Spectrogram 1	1	331.379	331.379335753	331.680674963	0.301	4593.8	5531.2	5062.5	27.7	41.8	52.6	331.379	/Users/mary/Desktop/listens_20180309/completed_listens/file5e573d3d74a.wav	file5e573d3d74a.wav	331.379	4561.0	5553.2	WCSP	high call
16	Spectrogram 1	1	343.357	343.357218833	343.658558043	0.301	4687.5	5625.0	5062.5	29.3	44.8	54.6	343.357	/Users/mary/Desktop/listens_20180309/completed_listens/file5e573d3d74a.wav	file5e573d3d74a.wav	343.357	4516.6	5686.5	WCSP	high call
18	Spectrogram 1	1	363.358	363.357884474	366.647504181	3.290	4781.2	6375.0	5531.2	29.3	47.5	67.6	363.358	/Users/mary/Desktop/listens_20180309/completed_listens/file5e573d3d74a.wav	file5e573d3d74a.wav	363.358	4516.6	6589.8	UNK2	DEJU?
19	Spectrogram 1	1	413.060	413.059682017	413.536802432	0.477	3468.8	4500.0	4031.2	26.4	39.8	53.7	413.060	/Users/mary/Desktop/listens_20180309/completed_listens/file5e573d3d74a.wav	file5e573d3d74a.wav	413.060	3450.4	4575.8	GCRF	
20	Spectrogram 1	1	466.709	466.709489464	467.337279484	0.628	3750.0	5437.5	4500.0	27.7	42.4	58.6	466.709	/Users/mary/Desktop/listens_20180309/completed_listens/file5e573d3d74a.wav	file5e573d3d74a.wav	466.709	3613.3	5568.0	GCRF	*
21	Spectrogram 1	1	481.941	481.941394732	486.248034272	4.307	2062.5	4781.2	3656.2	27.5	54.6	68.8	481.941	/Users/mary/Desktop/listens_20180309/completed_listens/file5e573d3d74a.wav	file5e573d3d74a.wav	481.941	1791.8	5049.7	GCRF	
22	Spectrogram 1	1	531.182	531.181866793	532.952234650	1.770	2718.8	4500.0	3656.2	26.4	42.7	62.0	531.182	/Users/mary/Desktop/listens_20180309/completed_listens/file5e573d3d74a.wav	file5e573d3d74a.wav	531.182	2621.1	4664.7	GCRF	
23	Spectrogram 1	1	549.161	549.161029743	552.538540052	3.378	2343.8	4687.5	3562.5	25.4	35.3	64.9	549.161	/Users/mary/Desktop/listens_20180309/completed_listens/file5e573d3d74a.wav	file5e573d3d74a.wav	549.161	2236.1	4827.6	background	GCRF_freq
26	Spectrogram 1	1	330.043	330.043434438	330.571395335	0.528	4500.0	5625.0	5062.5	26.2	42.9	54.3	330.043	/Users/mary/Desktop/listens_20180309/completed_listens/file5e573d3d74a.wav	file5e573d3d74a.wav	330.043	4470.1	5640.8	WCSP	
27	Spectrogram 1	1	332.176	332.175584214	332.926913183	0.751	4593.8	6000.0	5343.8	26.4	43.3	57.2	332.176	/Users/mary/Desktop/listens_20180309/completed_listens/file5e573d3d74a.wav	file5e573d3d74a.wav	332.176	4496.7	6039.9	UNK	*WCSP
