lake,round,location,direction,date_in,time_in,date_out,time_out,daysin,mayfly
BARRET2,2,SM,E,7/4/15,855,8/4/15,1245,31,0
BARRET2,2,SM,W,7/4/15,855,8/4/15,1245,31,0
BARRET2,2,X,N,7/4/15,924,8/4/15,1310,31,0
BARRET2,2,X,S,7/4/15,924,8/4/15,1310,31,2
BARRET2,2,X,E,7/4/15,924,8/4/15,1310,31,1
BARRET2,2,X,W,7/4/15,924,8/4/15,1310,31,4
WRIGHT1,2,SM,N,7/19/15,1300,8/17/15,1510,29,0
WRIGHT1,2,SM,S,7/19/15,1300,8/17/15,1510,29,0
WRIGHT1,2,SM,E,7/19/15,1300,8/17/15,1510,29,0
WRIGHT1,2,SM,W,7/19/15,1300,8/17/15,1510,29,1
WRIGHT1,2,X,N,7/19/15,1300,8/17/15,1505,29,0
WRIGHT1,2,X,S,7/19/15,1300,8/17/15,1505,29,0
WRIGHT1,2,X,E,7/19/15,1300,8/17/15,1505,29,0
WRIGHT1,2,X,W,7/19/15,1300,8/17/15,1505,29,1
WRIGHT2,2,SM,N,7/19/15,1230,8/17/15,1312,29,0
WRIGHT2,2,SM,S,7/19/15,1230,8/17/15,1312,29,0
WRIGHT2,2,SM,E,7/19/15,1230,8/17/15,1312,29,0
WRIGHT2,2,SM,W,7/19/15,1230,8/17/15,1312,29,0
WRIGHT2,2,X,N,7/19/15,1230,8/17/15,1255,29,0
WRIGHT2,2,X,S,7/19/15,1230,8/17/15,1255,29,0
WRIGHT2,2,X,E,7/19/15,1230,8/17/15,1255,29,0
WRIGHT2,2,X,W,7/19/15,1230,8/17/15,1255,29,0
UPKERN1,2,SM,N,7/21/15,815,8/14/15,1031,24,0
UPKERN1,2,SM,S,7/21/15,815,8/14/15,1031,24,0
UPKERN1,2,SM,E,7/21/15,815,8/14/15,1031,24,0
UPKERN1,2,SM,W,7/21/15,815,8/14/15,1031,24,0
UPKERN1,2,X,N,7/21/15,815,8/14/15,1027,24,0
UPKERN1,2,X,S,7/21/15,815,8/14/15,1027,24,0
UPKERN1,2,X,E,7/21/15,815,8/14/15,1027,24,0
UPKERN1,2,X,W,7/21/15,815,8/14/15,1027,24,0
UPKERN2,2,SM,N,7/21/15,1030,8/14/15,932,24,0
UPKERN2,2,SM,S,7/21/15,1030,8/14/15,932,24,0
UPKERN2,2,SM,E,7/21/15,1030,8/14/15,932,24,0
UPKERN2,2,SM,W,7/21/15,1030,8/14/15,932,24,0
UPKERN2,2,X,N,7/21/15,1030,8/14/15,923,24,0
UPKERN2,2,X,S,7/21/15,1030,8/14/15,923,24,0
UPKERN2,2,X,E,7/21/15,1030,8/14/15,923,24,0
UPKERN2,2,X,W,7/21/15,1030,8/14/15,923,24,0
AMPHIT1,2,SM,N,7/6/15,1150,8/3/15,1145,28,1
AMPHIT1,2,SM,S,7/6/15,1150,8/3/15,1145,28,3
AMPHIT1,2,SM,E,7/6/15,1150,8/3/15,1145,28,2
AMPHIT1,2,SM,W,7/6/15,1150,8/3/15,1145,28,4
AMPHIT1,2,X,N,7/6/15,1230,8/3/15,1300,28,5
AMPHIT1,2,X,S,7/6/15,1230,8/3/15,1300,28,13
AMPHIT1,2,X,E,7/6/15,1230,8/3/15,1300,28,12
AMPHIT1,2,X,W,7/6/15,1230,8/3/15,1300,28,9
AMPHIT2,2,SM,N,7/6/15,900,8/3/15,1530,28,0
AMPHIT2,2,SM,S,7/6/15,900,8/3/15,1530,28,0
AMPHIT2,2,SM,E,7/6/15,900,8/3/15,1530,28,0
AMPHIT2,2,SM,W,7/6/15,900,8/3/15,1530,28,0
AMPHIT2,2,X,N,7/6/15,715,8/3/15,1438,28,0
AMPHIT2,2,X,S,7/6/15,715,8/3/15,1438,28,0
AMPHIT2,2,X,E,7/6/15,715,8/3/15,1438,28,0
AMPHIT2,2,X,W,7/6/15,715,8/3/15,1438,28,0
CENTER1,2,SM,N,7/16/15,1700,8/12/15,1648,27,0
CENTER1,2,SM,S,7/16/15,1700,8/12/15,1648,27,0
CENTER1,2,SM,E,7/16/15,1700,8/12/15,1648,27,0
CENTER1,2,SM,W,7/16/15,1700,8/12/15,1648,27,0
CENTER1,2,X,N,7/16/15,1700,8/12/15,1710,27,0
CENTER1,2,X,S,7/16/15,1700,8/12/15,1710,27,0
CENTER1,2,X,E,7/16/15,1700,8/12/15,1710,27,0
CENTER1,2,X,W,7/16/15,1700,8/12/15,1710,27,0
CENTER2,2,SM,N,7/16/15,1900,8/12/15,1600,27,0
CENTER2,2,SM,S,7/16/15,1900,8/12/15,1600,27,0
CENTER2,2,SM,E,7/16/15,1900,8/12/15,1600,27,0
CENTER2,2,SM,W,7/16/15,1900,8/12/15,1600,27,0
CENTER2,2,X,N,7/16/15,1930,8/12/15,1632,27,1
CENTER2,2,X,S,7/16/15,1930,8/12/15,1632,27,0
CENTER2,2,X,E,7/16/15,1930,8/12/15,1632,27,0
CENTER2,2,X,W,7/16/15,1930,8/12/15,1632,27,0
BARRET1,3,SM,N,8/4/15,1450,9/10/15,945,37,0
BARRET1,3,SM,S,8/4/15,1450,9/10/15,945,37,0
BARRET1,3,SM,E,8/4/15,1450,9/10/15,945,37,0
BARRET1,3,SM,W,8/4/15,1450,9/10/15,945,37,0
BARRET1,3,X,N,8/4/15,1525,9/10/15,935,37,0
BARRET1,3,X,S,8/4/15,1525,9/10/15,935,37,0
BARRET1,3,X,E,8/4/15,1525,9/10/15,935,37,0
BARRET1,3,X,W,8/4/15,1525,9/10/15,935,37,0
